,restaurant_name,retaurant_address,restaurant_zipcode,restaurant_reviewcount,restaurant_rating,restaurant_neighobrhood,Hygiene_score,price_range,Liked by Vegetarians,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Bitcoin,Parking,Bike Parking,Wheelchair Accessible,Good for Kids,Good for Groups,Attire,Noise Level,Alcohol,Happy Hour,Outdoor Seating,Wi-Fi,Has TV,Dogs Allowed,Waiter Service,Caters,Category,Has Soy-free Options,Has Dairy-free Options,Liked by Vegans,Has Gluten-free Options,Good For,Ambience,Gender Neutral Restrooms
0,Fishermans Landing,7721 S 4180 RdUnit A,74017,1,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,American (Traditional); ,NA,NA,NA,NA,NA,NA,NA
1,Country Cottage Restaurant,6570 N Hwy 82,74352,20,4.5,NA,NA,$11-30,NA,Yes,No,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Casual,Loud,No,NA,No,No,No,NA,NA,NA,American (Traditional); ,NA,NA,NA,NA,NA,Casual,NA
2,Mid-American Grille,101 Cobblestone Dr,74361,36,4.0,NA,NA,$11-30,NA,Yes,No,Yes,Yes,NA,Private Lot,Yes,NA,Yes,Yes,NA,Average,Full Bar,NA,No,Free,Yes,NA,NA,Yes,American (Traditional); Diners; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,NA
3,Clanton’s Cafe,319 E Illinois Ave,74301,101,4.0,NA,NA,Under $10,NA,No,No,Yes,Yes,NA,Private Lot,Yes,NA,Yes,Yes,Casual,Average,No,NA,No,No,No,NA,Yes,Yes,American (Traditional); ,NA,NA,NA,NA,"Breakfast, Lunch, Dinner",Casual,NA
4,The Artichoke Restaurant & Bar,35896 S Hwy 82,74350,31,4.5,NA,NA,$31-60,NA,Yes,Yes,Yes,Yes,NA,Private Lot,Yes,Yes,No,Yes,Casual,Average,Full Bar,NA,Yes,No,Yes,NA,Yes,Yes,American (New); Steakhouses; Wine Bars; ,NA,NA,NA,NA,NA,Intimate,NA
5,Bill and Ruth’s,310 S Mill St,74361,9,4.0,NA,NA,$11-30,NA,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Casual,Average,NA,NA,NA,Free,Yes,NA,NA,NA,American (New); Greek; ,NA,NA,NA,NA,NA,NA,NA
6,Fried Pie,500 N Jm Davis Blvd,74017,15,4.0,NA,NA,Under $10,NA,No,No,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Casual,Quiet,No,NA,No,NA,Yes,NA,NA,NA,American (New); ,NA,NA,NA,NA,NA,NA,NA
7,Petes Drive In,NE 1st St,74361,6,4.5,NA,NA,Under $10,NA,No,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,NA,Quiet,No,NA,NA,No,No,NA,NA,No,Burgers; American (Traditional); Hot Dogs; ,NA,NA,NA,NA,NA,NA,NA
8,Thomas Restaurant,215 S Mill St,74361,20,3.5,NA,NA,$11-30,NA,No,No,Yes,Yes,NA,Private Lot,Yes,NA,Yes,Yes,Casual,Average,No,NA,No,No,Yes,NA,NA,NA,American (Traditional); Tex-Mex; Mexican; ,NA,NA,NA,NA,Lunch,Casual,NA
9,Charlie’s Chicken and BBQ,34 S Mill St,74361,16,3.5,NA,NA,Under $10,NA,No,No,Yes,Yes,NA,NA,No,Yes,Yes,Yes,Casual,Average,No,NA,No,No,Yes,NA,NA,Yes,Barbeque; American (Traditional); ,NA,NA,NA,NA,NA,NA,NA
10,Hi-Way Cafe,437918 E Hwy 60,74301,15,4.0,NA,NA,Under $10,NA,No,No,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Casual,NA,NA,NA,No,Free,No,NA,NA,NA,American (Traditional); Breakfast & Brunch; ,NA,NA,NA,NA,NA,NA,NA
11,Rigg’s & Company,1411 N 3rd St,74350,4,5.0,NA,NA,Under $10,NA,No,No,No,Yes,NA,NA,Yes,NA,No,Yes,Casual,Average,Full Bar,NA,Yes,NA,Yes,NA,NA,NA,Barbeque; Burgers; American (Traditional); ,NA,NA,NA,NA,NA,NA,NA
12,Hammett House Restaurant,1616 W Will Rogers Blvd,74017,51,3.5,Carbondale,NA,$11-30,Yes,Yes,No,Yes,Yes,NA,Private Lot,No,NA,Yes,Yes,Casual,Average,No,NA,No,Free,No,NA,NA,Yes,Seafood; American (Traditional); ,NA,NA,NA,NA,NA,Casual,NA
13,Taco Tico,905 N Lynn Riggs Blvd,74017,17,4.0,Midtown,NA,Under $10,NA,No,No,Yes,Yes,NA,NA,No,NA,Yes,Yes,Casual,Average,No,NA,No,No,Yes,NA,NA,No,American (New); ,NA,NA,NA,NA,NA,NA,NA
14,Sonic Drive-In,439 S Mill,74361,3,4.5,NA,NA,NA,NA,No,No,Yes,Yes,NA,NA,NA,NA,Yes,No,NA,NA,No,NA,NA,NA,NA,NA,No,No,Fast Food; Burgers; Ice Cream & Frozen Yogurt; ,NA,NA,NA,NA,NA,NA,NA
15,Wood Shed,NA,NA,3,3.5,NA,NA,Under $10,NA,No,No,Yes,Yes,NA,NA,NA,NA,No,Yes,Casual,NA,NA,NA,NA,NA,NA,NA,NA,NA,American (Traditional); ,NA,NA,NA,NA,NA,NA,NA
16,Cracker Barrel Old Country Store,9475 N Owasso Expy,74055,27,4.0,East Tulsa,NA,$11-30,Yes,No,No,Yes,Yes,NA,Private Lot,Yes,NA,Yes,Yes,Casual,NA,No,NA,No,No,No,NA,NA,Yes,American (Traditional); Southern; Breakfast & Brunch; ,NA,NA,NA,NA,Brunch,NA,NA
