,restaurant_name,retaurant_address,restaurant_zipcode,restaurant_reviewcount,restaurant_rating,restaurant_neighobrhood,Hygiene_score,price_range,Liked by Vegetarians,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Bitcoin,Parking,Bike Parking,Wheelchair Accessible,Good for Kids,Good for Groups,Attire,Noise Level,Alcohol,Happy Hour,Outdoor Seating,Wi-Fi,Has TV,Dogs Allowed,Waiter Service,Caters,Category,Has Soy-free Options,Has Dairy-free Options,Liked by Vegans,Has Gluten-free Options,Good For,Ambience,Gender Neutral Restrooms
0,Zum Schneider,107 Ave C,10009,575,4.0,"Alphabet City, East Village",NA,$11-30,NA,Yes,No,Yes,No,No,Street,Yes,NA,No,Yes,Casual,Loud,Beer & Wine Only,NA,Yes,No,No,NA,NA,No,Pubs; German; ,NA,NA,NA,NA,Dinner,Casual,NA
1,Edi & the Wolf,102 Ave C,10009,403,4.0,"Alphabet City, East Village",A,$31-60,Yes,Yes,No,Yes,Yes,NA,Street,Yes,NA,No,Yes,Casual,Average,Full Bar,NA,Yes,Free,No,NA,NA,Yes,German; ,NA,NA,NA,NA,Dinner,Trendy,Yes
2,Cafe Katja,79 Orchard St,10002,735,4.5,Lower East Side,A,$11-30,NA,No,No,Yes,Yes,NA,Street,Yes,NA,No,Yes,Casual,Average,Full Bar,Yes,No,No,No,NA,Yes,No,Pubs; German; Austrian; ,NA,NA,NA,NA,Dinner,Casual,Yes
3,GRÜNHAUS,101 Rivington St,10002,24,4.0,Lower East Side,A,$11-30,NA,No,Yes,NA,Yes,NA,NA,NA,NA,No,Yes,NA,NA,NA,Yes,NA,NA,No,NA,NA,NA,German; Beer Bar; ,NA,NA,NA,NA,NA,NA,NA
4,Radegast Hall and Biergarten,113 N 3rd St,11249,1260,4.0,Williamsburg - North Side,A,$11-30,Yes,No,No,Yes,Yes,NA,"Garage, Street",Yes,Yes,No,Yes,Casual,Loud,Full Bar,No,No,No,Yes,No,Yes,No,Pubs; German; Venues & Event Spaces; ,NA,NA,NA,NA,"Dinner, Late Night",Casual,Yes
5,Lederhosen,39 Grove St,10014,308,4.0,West Village,A,$11-30,Yes,Yes,No,Yes,Yes,NA,Street,No,NA,No,Yes,Casual,Average,Full Bar,Yes,No,No,Yes,No,NA,Yes,German; Bars; ,NA,NA,NA,NA,Dinner,Casual,NA
6,Rolf’s Bar & Restaurant,281 3rd Ave,10010,713,2.5,Gramercy,A,$11-30,NA,Yes,No,No,Yes,NA,Street,Yes,NA,No,Yes,Casual,Very Loud,Full Bar,Yes,No,No,No,NA,NA,No,German; Bars; ,NA,NA,NA,NA,Dinner,Touristy,NA
7,Doma Na Rohu,27 1/2 Morton St,10014,188,4.0,West Village,A,$11-30,NA,Yes,Yes,Yes,Yes,NA,"Garage, Street",Yes,NA,Yes,Yes,Casual,Average,Beer & Wine Only,Yes,Yes,Free,No,NA,Yes,Yes,German; Czech; Austrian; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,Yes
8,Klimat Lounge,77 E 7th St,10003,134,4.0,East Village,A,$11-30,NA,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,No,Yes,Casual,Average,Beer & Wine Only,NA,No,No,Yes,NA,NA,Yes,Polish; Lounges; Wine Bars; ,NA,NA,NA,NA,NA,Casual,NA
9,Loreley Beer Garden,7 Rivington St,10002,608,3.5,Lower East Side,A,$11-30,NA,Yes,Yes,Yes,Yes,No,Street,Yes,NA,No,Yes,Casual,Loud,Full Bar,Yes,Yes,Free,Yes,NA,Yes,Yes,German; Beer Gardens; ,NA,NA,NA,NA,Dinner,Casual,Yes
10,Freud,506 Laguardia Pl,10012,88,4.0,Greenwich Village,P,$11-30,NA,Yes,No,No,Yes,NA,Street,Yes,Yes,No,Yes,Casual,Average,Full Bar,NA,Yes,Free,No,NA,Yes,No,Austrian; American (New); ,NA,NA,NA,NA,"Brunch, Dinner",Casual,NA
11,Wurst Case,136 N 7th St,11249,5,4.5,Williamsburg - North Side,NA,$11-30,NA,No,NA,Yes,Yes,NA,Street,Yes,Yes,NA,NA,NA,NA,Full Bar,NA,Yes,Free,Yes,Yes,Yes,Yes,Austrian; German; Food Trucks; ,NA,NA,NA,NA,NA,NA,NA
12,Blue Ribbon Kanpai Garden,"190 Allen St2nd Floor, Sixty LES HotelFl 2 Ter",10002,36,3.5,Lower East Side,NA,Moderate,NA,NA,NA,NA,Yes,NA,Street,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,Beer Gardens; ,NA,NA,NA,NA,NA,NA,NA
13,Little Poland,200 2nd Ave,10003,262,4.0,East Village,A,$11-30,Yes,NA,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,NA,Average,No,NA,No,No,Yes,NA,NA,No,Diners; Polish; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,NA
14,Karczma,136 Greenpoint Ave,11222,503,4.5,Greenpoint,A,$11-30,Yes,No,No,Yes,Yes,No,Street,No,NA,Yes,Yes,Casual,Average,Full Bar,NA,No,Free,No,NA,NA,No,Polish; ,NA,Yes,NA,NA,Dinner,Casual,Yes
15,Dziupla,194 Bedford Ave,11249,184,4.0,Williamsburg - North Side,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,No,Yes,Yes,Casual,Average,Full Bar,Yes,Yes,No,Yes,NA,Yes,Yes,Polish; ,NA,NA,Yes,NA,"Brunch, Lunch, Dinner",Casual,Yes
16,Delaware and Hudson,135 N 5th St,11211,274,4.0,Williamsburg - North Side,A,$11-30,Yes,Yes,Yes,Yes,Yes,No,Street,Yes,Yes,No,Yes,Casual,Average,Full Bar,Yes,No,Free,Yes,No,Yes,Yes,American (Traditional); Pretzels; Breakfast & Brunch; ,NA,NA,NA,NA,Dinner,Casual,Yes
17,Clinton Hall,247 Metropolitan Ave,11211,53,3.5,Williamsburg - North Side,A,$11-30,NA,No,Yes,Yes,Yes,No,NA,NA,Yes,No,Yes,NA,NA,Full Bar,Yes,Yes,Free,Yes,Yes,Yes,Yes,Beer Gardens; Bars; American (New); ,NA,NA,NA,NA,NA,Trendy,Yes
18,Bavaria Bier Haus,19 S William St,10004,153,3.5,Financial District,B,$11-30,NA,Yes,No,Yes,Yes,No,"Garage, Street",No,Yes,No,Yes,Casual,Average,Full Bar,Yes,Yes,Free,Yes,No,Yes,Yes,German; Beer Gardens; ,NA,NA,NA,NA,"Lunch, Dinner, Late Night",Casual,NA
19,Schilling,109 Washington St,10006,117,4.0,Financial District,A,$31-60,NA,Yes,No,Yes,Yes,NA,NA,No,NA,No,Yes,Casual,Average,Full Bar,Yes,Yes,Free,No,No,Yes,No,Austrian; Bars; American (New); ,NA,NA,NA,NA,Dinner,Trendy,Yes
20,Wallse,344 W 11th St,10014,243,4.0,West Village,NA,$31-60,Yes,Yes,No,No,Yes,No,"Garage, Street",Yes,No,No,Yes,Dressy,Quiet,Full Bar,No,Yes,Free,No,No,Yes,No,German; Austrian; Modern European; ,NA,NA,NA,NA,Dinner,Classy,Yes
21,Clinton Hall,90 Washington St,10006,520,4.0,Financial District,A,$11-30,NA,No,Yes,Yes,Yes,NA,Street,Yes,Yes,No,Yes,Casual,Loud,Full Bar,Yes,Yes,Free,Yes,NA,Yes,No,Bars; American (New); Beer Gardens; ,NA,NA,NA,NA,"Lunch, Late Night","Casual, Trendy",Yes
22,Andaz Kitchen & Bar,75 Wall St,10005,4,2.5,Financial District,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Full Bar,NA,No,Free,Yes,NA,NA,NA,Beer Gardens; ,NA,NA,NA,NA,NA,NA,NA
23,Reichenbach Hall,5 W 37th St,10018,640,4.0,Midtown West,A,$11-30,NA,Yes,No,Yes,Yes,NA,Street,Yes,NA,No,Yes,Casual,Loud,Full Bar,NA,No,Free,Yes,No,NA,Yes,Bars; German; Pretzels; ,NA,NA,NA,NA,"Dinner, Late Night",Casual,NA
24,Bierhaus NYC,712 3rd Ave,10017,616,3.5,Midtown East,A,$11-30,NA,Yes,Yes,Yes,Yes,No,"Garage, Street",Yes,NA,Yes,Yes,Casual,Loud,Full Bar,NA,Yes,Free,Yes,NA,NA,Yes,German; Bars; ,NA,NA,NA,NA,Dinner,Casual,NA
25,Black Forest Brooklyn,733 Fulton St,11217,346,3.5,Fort Greene,A,$11-30,Yes,NA,Yes,Yes,Yes,NA,Street,Yes,Yes,Yes,Yes,Casual,Average,Full Bar,Yes,Yes,Free,No,No,Yes,Yes,German; ,NA,NA,NA,NA,Dinner,Casual,Yes
26,Zeppelin Hall,88 Liberty View Dr,07302,783,3.5,NA,NA,$11-30,NA,No,No,Yes,Yes,NA,Private Lot,Yes,NA,No,Yes,Casual,Loud,Full Bar,Yes,Yes,Free,Yes,NA,No,No,American (Traditional); Beer Gardens; German; ,NA,NA,Yes,NA,"Dinner, Late Night",Casual,NA
27,Die Stammkneipe/ Der Schwarze Kölner,710 Fulton St,11217,217,3.5,Fort Greene,A,$11-30,Yes,Yes,No,Yes,Yes,No,Street,Yes,Yes,No,Yes,Casual,Average,Beer & Wine Only,Yes,Yes,No,Yes,NA,Yes,No,German; Beer Gardens; ,NA,NA,Yes,NA,Late Night,Casual,Yes
28,La Tarte Flambee,153 E 33rd St,10016,315,4.5,"Murray Hill, Kips Bay, Midtown East",A,$11-30,NA,Yes,Yes,Yes,Yes,No,"Garage, Street",Yes,No,Yes,Yes,Casual,Average,Full Bar,Yes,Yes,Free,Yes,No,Yes,Yes,French; German; Bars; ,NA,NA,NA,NA,"Brunch, Lunch",Casual,Yes
29,Spritzenhaus 33,33 Nassau Ave,11222,492,3.5,Greenpoint,C,$11-30,NA,Yes,No,Yes,Yes,No,Street,Yes,Yes,No,Yes,Casual,Average,Full Bar,No,Yes,Free,Yes,No,No,No,German; Beer Gardens; ,NA,NA,NA,NA,Late Night,"Hipster, Casual",Yes
30,"The Biergarten at The Standard, High Line",848 Washington St,10014,836,3.5,"Meatpacking District, West Village",A,$11-30,NA,No,No,No,Yes,NA,Street,Yes,NA,No,Yes,Casual,Loud,Full Bar,Yes,Yes,No,No,NA,NA,No,Bars; German; Pretzels; ,NA,NA,NA,NA,"Lunch, Late Night",Casual,NA
31,Black Forest Brooklyn,181 Smith St,11201,47,4.0,"Cobble Hill, Boerum Hill",A,$11-30,NA,NA,No,Yes,Yes,NA,Street,NA,NA,Yes,Yes,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Beer Gardens; German; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,NA
32,Berlin Currywurst,75 9th Ave,10011,84,3.5,"Meatpacking District, Chelsea",A,$11-30,NA,No,Yes,Yes,Yes,NA,NA,No,NA,Yes,No,Casual,Loud,Beer & Wine Only,NA,No,Free,No,NA,No,Yes,German; ,NA,NA,NA,NA,Lunch,"Casual, Touristy",NA
33,Kotti Berliner Döner Kebab,445 Albee Square W,11201,48,4.0,Downtown Brooklyn,A,$11-30,NA,No,Yes,Yes,Yes,No,NA,Yes,Yes,Yes,Yes,Casual,Average,Beer & Wine Only,Yes,No,Free,No,NA,No,Yes,Kebab; German; ,NA,NA,NA,NA,NA,NA,NA
34,The Lutze,15 2nd St,07302,152,3.0,NA,NA,Moderate,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,Average,Full Bar,Yes,Yes,Free,No,NA,NA,NA,Beer Gardens; ,NA,NA,NA,NA,NA,Casual,NA
35,Consulate General of Germany,871 United Nations Plz,10017,8,2.5,Midtown East,NA,$11-30,NA,Yes,No,No,No,NA,NA,NA,NA,Yes,Yes,Dressy,Average,Full Bar,NA,No,NA,Yes,NA,NA,NA,German; ,NA,NA,NA,NA,NA,NA,NA
36,Heidelberg Restaurant,1648 2nd Ave,10028,639,4.0,"Yorkville, Upper East Side",A,$11-30,NA,Yes,No,Yes,Yes,NA,Street,Yes,NA,No,Yes,Casual,Average,Full Bar,Yes,Yes,No,Yes,NA,Yes,Yes,German; Bars; ,NA,NA,NA,NA,Dinner,Casual,NA
37,Zum Stammtisch,6946 Myrtle Ave,11385,409,4.0,Glendale,A,$11-30,NA,Yes,No,Yes,Yes,NA,Street,No,Yes,Yes,Yes,Casual,Average,Full Bar,Yes,No,Free,Yes,NA,Yes,Yes,German; ,Yes,NA,NA,NA,"Lunch, Dinner",Casual,NA
38,Jägerhaus Gastropub and Biergarten,1516 149th St,11357,193,4.0,Whitestone,A,$11-30,NA,Yes,No,Yes,Yes,No,Street,No,Yes,Yes,Yes,Casual,Average,Beer & Wine Only,NA,Yes,Free,Yes,No,Yes,Yes,German; Gastropubs; ,NA,NA,NA,NA,Dinner,Casual,Yes
39,Bierstrasse NYC,2346 12th Ave Corner133rd St,10027,161,3.5,Harlem,A,Moderate,NA,No,NA,NA,Yes,No,Street,No,Yes,NA,Yes,NA,Average,Full Bar,Yes,Yes,No,Yes,Yes,NA,NA,Sports Bars; Beer Gardens; ,NA,NA,NA,NA,NA,Casual,Yes
40,Max Bratwurst und Bier,4702 30th Ave,11103,317,4.5,Astoria,A,$11-30,NA,No,Yes,Yes,Yes,NA,Street,Yes,Yes,Yes,Yes,Casual,Average,Full Bar,Yes,Yes,Free,Yes,NA,NA,Yes,German; Bars; ,Yes,NA,NA,NA,"Lunch, Dinner",Casual,Yes
