,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
0,NA,Yes,Full Bar,Casual,NA,Yes,Diners; Ukrainian; Greek; ,No,Yes,NA,NA,Late Night,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,No,NA,NA,No,Under $10,Odessa Restaurant,"East Village, Alphabet City",3.5,325,10009,119 Ave A
1,No,Yes,Beer & Wine Only,NA,Casual,NA,American (New); Vietnamese; Mediterranean; ,Yes,Yes,No,Yes,NA,Yes,Yes,NA,NA,NA,NA,No,NA,Yes,Yes,Average,No,NA,Yes,No,No,Yes,Free,$11-30,Sous Vide Kitchen - A Virtual Food Hall,Flatiron,4.0,20,10010,119 E 23rd St
2,NA,Yes,Full Bar,Trendy,Casual,Yes,Mediterranean; Spanish; Bars; ,No,No,NA,Yes,Dinner,Yes,No,No,NA,NA,NA,No,A,Yes,Yes,Average,No,Street,No,Yes,Yes,NA,No,$31-60,Gato,NoHo,4.0,1005,10012,324 Lafayette St
3,NA,Yes,Full Bar,"Trendy, Intimate, Romantic, Classy",Casual,Yes,Mediterranean; ,Yes,No,NA,NA,Late Night,Yes,No,NA,NA,NA,NA,No,B,NA,NA,Average,Yes,Street,No,Yes,Yes,NA,No,$11-30,Adalya,"Gramercy, Union Square, Flatiron",4.0,118,10003,55 Irving Pl
4,NA,Yes,Full Bar,Casual,Casual,Yes,Breakfast & Brunch; Mediterranean; American (New); ,No,No,NA,NA,"Brunch, Lunch",Yes,No,NA,NA,NA,NA,No,A,Yes,Yes,Loud,Yes,Street,Yes,Yes,NA,NA,No,$11-30,Jack’s Wife Freda,SoHo,4.0,1658,10012,224 Lafayette St
5,NA,Yes,Full Bar,Trendy,Casual,No,Mediterranean; American (New); Bars; ,No,No,NA,Yes,Dinner,Yes,No,No,NA,NA,NA,No,A,NA,Yes,Average,No,Garage,No,Yes,Yes,NA,No,$31-60,Covina,Flatiron,4.5,280,10016,127 E 27th St
6,No,Yes,Full Bar,Casual,Casual,Yes,Lounges; Middle Eastern; Hookah Bars; ,Yes,No,NA,NA,Late Night,Yes,No,Yes,NA,NA,NA,Yes,A,NA,NA,Loud,Yes,Street,Yes,Yes,Yes,NA,Free,$11-30,Horus Cafe,"Alphabet City, East Village",3.0,169,10009,93 Ave B
7,NA,No,No,Casual,Casual,Yes,Greek; Food Trucks; ,Yes,No,NA,NA,"Lunch, Dinner, Late Night",Yes,Yes,NA,NA,NA,NA,No,NA,NA,Yes,Average,Yes,Street,Yes,No,NA,NA,No,Under $10,King Souvlaki,Astoria,4.5,227,11106,31 St And 31 Ave
8,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Mediterranean; Hookah Bars; ,Yes,Yes,NA,NA,NA,Yes,No,NA,NA,NA,NA,Yes,A,NA,NA,Quiet,Yes,Street,Yes,Yes,NA,NA,Free,$11-30,Dinah Restaurant,East Village,3.5,80,10003,166 2nd Ave
9,No,Yes,Beer & Wine Only,Casual,Casual,Yes,Turkish; Mediterranean; Persian/Iranian; ,Yes,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,Yes,NA,NA,NA,Yes,A,Yes,Yes,Average,Yes,Street,Yes,No,NA,NA,Free,$11-30,Papa Kebab Bistro,Chelsea,4.0,200,10011,361 W 17th St
10,NA,Yes,Full Bar,Casual,Casual,Yes,Moroccan; ,No,No,NA,Yes,"Brunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,Yes,Average,Yes,Street,Yes,Yes,Yes,NA,Free,$11-30,Cafe Mogador,Williamsburg - North Side,4.5,1010,11211,133 Wythe Ave
11,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Middle Eastern; American (Traditional); Breakfast & Brunch; ,No,Yes,NA,Yes,Lunch,Yes,Yes,NA,NA,NA,NA,No,B,NA,NA,Average,No,Street,Yes,Yes,Yes,NA,No,$11-30,12 Chairs,South Village,4.0,403,10012,56 MacDougal St
12,NA,Yes,Full Bar,NA,Casual,Yes,Mediterranean; Bars; ,Yes,No,NA,Yes,Dinner,Yes,No,Yes,NA,NA,NA,No,A,NA,NA,Average,Yes,Street,No,Yes,NA,NA,No,$31-60,Glasserie,Greenpoint,4.0,311,11222,95 Commercial St
13,NA,Yes,No,Casual,Casual,No,Mediterranean; ,No,No,NA,NA,Lunch,No,Yes,NA,NA,Yes,Yes,No,A,Yes,Yes,Average,Yes,NA,No,No,No,NA,No,$11-30,CAVA,Nolita,4.5,45,10012,50 Spring St
14,NA,Yes,Full Bar,"Casual, Trendy, Classy",Casual,No,Mediterranean; Cocktail Bars; ,NA,No,NA,NA,"Brunch, Lunch, Dinner, Dessert",Yes,No,Yes,NA,NA,NA,No,A,Yes,Yes,Average,No,Street,Yes,Yes,Yes,NA,Free,$11-30,Shuka,South Village,4.0,251,10012,38 Macdougal St
15,NA,Yes,Beer & Wine Only,"Casual, Intimate",Casual,Yes,Middle Eastern; Turkish; Mediterranean; ,No,Yes,NA,Yes,Dinner,Yes,No,NA,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,Yes,NA,NA,No,$11-30,Little Rascal,Nolita,4.0,185,10012,163 Elizabeth St
16,No,No,No,NA,NA,Yes,Greek; Food Trucks; ,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,Street,Yes,No,No,No,NA,NA,King Souvlaki,Midtown West,4.5,10,10017,West 55th Street and Broadway
17,NA,Yes,No,"Casual, Trendy",Casual,Yes,Mediterranean; ,No,No,NA,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,Yes,Yes,Average,No,NA,Yes,No,No,NA,No,$11-30,CAVA,Flatiron,4.0,115,10010,325 Park Ave S
18,NA,Yes,Full Bar,Casual,Casual,Yes,Hookah Bars; Middle Eastern; Mediterranean; ,No,No,NA,Yes,Late Night,Yes,No,NA,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,Yes,NA,NA,Free,$11-30,Kazuza,"East Village, Alphabet City",3.5,403,10009,107 Ave A
19,NA,Yes,No,Casual,Casual,Yes,Moroccan; Cafes; Juice Bars & Smoothies; ,No,Yes,NA,NA,"Breakfast, Brunch, Lunch",No,No,NA,NA,NA,NA,No,A,Yes,Yes,Average,Yes,Street,Yes,No,NA,NA,Free,Under $10,Pause Cafe,Lower East Side,4.5,325,10002,3 Clinton St
20,NA,Yes,Full Bar,Casual,Casual,Yes,Persian/Iranian; Middle Eastern; Imported Food; ,Yes,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,Yes,Yes,NA,No,$11-30,Ravagh Persian Grill,East Village,4.0,174,10003,125 1st Ave
21,NA,Yes,Full Bar,Casual,Casual,No,Mediterranean; Burgers; Desserts; ,Yes,Yes,NA,Yes,"Brunch, Dinner",Yes,Yes,NA,NA,NA,NA,Yes,A,Yes,Yes,Quiet,No,Street,Yes,Yes,NA,NA,Free,$11-30,Angelina Cafe,"East Village, Alphabet City",3.5,134,10009,36 Avenue A
22,No,Yes,No,Casual,Casual,Yes,Specialty Food; Mediterranean; Juice Bars & Smoothies; ,Yes,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,Yes,A,NA,Yes,Average,No,Street,Yes,No,NA,NA,Free,Under $10,Eva’s Kitchen,Greenwich Village,4.5,356,10011,11 W 8th St
23,NA,Yes,No,Casual,Casual,Yes,Middle Eastern; Falafel; ,No,No,NA,Yes,"Lunch, Late Night",No,Yes,NA,NA,NA,NA,Yes,A,NA,Yes,Average,No,Street,Yes,No,NA,NA,No,Under $10,Oasis,Williamsburg - North Side,4.0,586,11211,161 N 7th St
24,NA,Yes,No,Casual,Casual,Yes,Turkish; American (New); Coffee & Tea; ,Yes,Yes,NA,NA,"Breakfast, Brunch, Lunch",No,Yes,NA,NA,NA,NA,No,A,NA,NA,Quiet,No,Street,Yes,No,Yes,No,Free,$11-30,Abracadabra Brooklyn,Williamsburg - South Side,4.5,133,11211,347 Bedford Ave
25,NA,Yes,NA,NA,NA,NA,Greek; ,NA,Yes,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,A,NA,NA,NA,No,NA,Yes,No,NA,NA,Free,$11-30,GRK Fresh Greek -- East 8th St,Greenwich Village,3.5,40,10003,51 East 8th St
26,NA,Yes,No,NA,Casual,No,Halal; Falafel; Breakfast & Brunch; ,Yes,Yes,No,NA,NA,No,Yes,NA,NA,NA,NA,No,A,NA,NA,NA,No,Street,Yes,No,No,No,No,Under $10,NYC Falafel,Lower East Side,4.0,34,10002,201 Allen St
27,NA,Yes,Full Bar,"Casual, Trendy",Casual,Yes,Mediterranean; Cocktail Bars; Breakfast & Brunch; ,No,No,NA,Yes,"Brunch, Lunch",Yes,Yes,No,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,No,Yes,NA,No,$11-30,Jack’s Wife Freda,West Village,4.0,713,10014,50 Carmine St
28,NA,Yes,Full Bar,Casual,Casual,No,Italian; Mediterranean; Spanish; ,No,No,NA,NA,NA,Yes,No,Yes,NA,NA,NA,No,A,NA,NA,Average,Yes,Street,Yes,Yes,NA,NA,Free,$11-30,Pangea,East Village,3.5,122,10003,178 2nd Ave
29,NA,Yes,NA,NA,Casual,NA,Mediterranean; Kosher; Vegetarian; ,NA,Yes,NA,NA,NA,No,Yes,NA,NA,NA,NA,NA,A,NA,Yes,NA,NA,NA,Yes,No,NA,NA,Free,$11-30,Milk + Honey,Financial District,2.5,21,10038,160 Broadway Ave
30,NA,Yes,No,Casual,Casual,Yes,Middle Eastern; ,Yes,Yes,NA,NA,Lunch,No,Yes,NA,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,No,NA,NA,No,$11-30,Pita Express,Financial District,3.5,73,10038,15 Ann St
31,NA,Yes,Beer & Wine Only,Casual,NA,Yes,Lebanese; Bakeries; Sandwiches; ,Yes,Yes,NA,Yes,Lunch,No,Yes,Yes,NA,NA,NA,No,A,Yes,Yes,Average,No,Street,Yes,No,No,Yes,No,Under $10,Manousheh,Greenwich Village,4.5,359,10012,193 Bleecker St
