,restaurant_name,retaurant_address,restaurant_zipcode,restaurant_reviewcount,restaurant_rating,restaurant_neighobrhood,Hygiene_score,price_range,Liked by Vegetarians,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Bitcoin,Parking,Bike Parking,Wheelchair Accessible,Good for Kids,Good for Groups,Attire,Noise Level,Alcohol,Happy Hour,Outdoor Seating,Wi-Fi,Has TV,Dogs Allowed,Waiter Service,Caters,Category,Has Soy-free Options,Has Dairy-free Options,Liked by Vegans,Has Gluten-free Options,Good For,Ambience,Gender Neutral Restrooms
0,The MasalaWala,179 Essex St,10002,1266,4.5,Lower East Side,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,Beer & Wine Only,No,Yes,Free,Yes,No,NA,No,Indian; Pakistani; ,NA,Yes,Yes,Yes,"Lunch, Dinner",Casual,Yes
1,Malai Marke Indian Cuisine,318 E 6th St,10003,510,4.0,East Village,A,$11-30,NA,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,Beer & Wine Only,NA,No,No,No,NA,Yes,Yes,Indian; ,NA,NA,NA,NA,Dinner,Casual,Yes
2,Mughlai Grill,6 Clinton St,10002,224,5.0,Lower East Side,A,$11-30,Yes,Yes,Yes,Yes,Yes,No,Street,Yes,Yes,Yes,Yes,Casual,Average,Beer & Wine Only,No,No,Free,No,No,Yes,Yes,Indian; ,Yes,Yes,Yes,Yes,"Lunch, Dinner, Dessert","Casual, Intimate, Romantic",Yes
3,indi thai,123 Allen St,10029,31,4.5,Lower East Side,A,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Indian; ,NA,NA,NA,NA,Dinner,NA,NA
4,Old Monk,175 Ave B,10009,65,4.0,"Alphabet City, East Village",A,$31-60,NA,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,Beer & Wine Only,NA,No,NA,No,NA,Yes,Yes,Indian; ,NA,NA,NA,NA,Dinner,"Trendy, Intimate, Romantic",Yes
5,Apna Masala Indian Cuisine,344 E 6th St,10003,190,3.5,East Village,A,$11-30,NA,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,Full Bar,NA,Yes,Free,Yes,NA,Yes,Yes,Indian; ,NA,NA,NA,NA,Dinner,Casual,NA
6,GupShup,115 E18th St,10003,19,4.5,"Gramercy, Union Square, Flatiron",NA,NA,Yes,Yes,No,Yes,Yes,No,"Garage, Street, Private Lot",No,Yes,NA,NA,NA,NA,Full Bar,Yes,No,No,No,No,Yes,No,Indian; Cocktail Bars; ,NA,Yes,Yes,Yes,NA,NA,Yes
7,Desi Galli,172 Avenue BCorner 11th,10009,68,3.5,"East Village, Alphabet City",C,$11-30,NA,No,Yes,Yes,Yes,NA,Street,Yes,Yes,Yes,Yes,Casual,Average,No,NA,No,No,No,NA,No,Yes,Indian; ,NA,NA,NA,Yes,"Lunch, Dessert",Casual,Yes
8,Ahimsa Garden,265 E 10th St,10009,63,4.5,"East Village, Alphabet City",A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,Yes,Yes,Yes,Casual,Quiet,Beer & Wine Only,NA,Yes,Free,No,NA,Yes,Yes,Indian; Vegetarian; Kosher; ,NA,NA,Yes,NA,Dinner,"Casual, Intimate, Romantic",Yes
9,Cinnamon Garden,328 E 6th St,10003,45,4.5,East Village,B,$11-30,Yes,Yes,Yes,Yes,Yes,No,Street,Yes,No,Yes,Yes,Casual,Quiet,No,No,No,Free,No,NA,Yes,Yes,Indian; Vegetarian; Seafood; ,NA,NA,NA,NA,NA,Casual,Yes
10,Haveli Restaurant,100 2nd Ave,10003,331,4.0,East Village,A,$11-30,NA,Yes,Yes,Yes,Yes,NA,Street,Yes,Yes,Yes,Yes,Casual,Quiet,Full Bar,NA,Yes,No,No,NA,Yes,Yes,Indian; ,NA,NA,NA,NA,Dinner,Intimate,NA
11,Dhaba Indian Cuisine,108 Lexington Ave,10016,1426,3.5,Flatiron,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,No,Yes,Yes,Casual,Average,Beer & Wine Only,NA,No,No,No,NA,Yes,Yes,Indian; Buffets; ,NA,NA,Yes,NA,Dinner,Casual,NA
12,Milon,93 1st Ave,10003,489,3.5,East Village,NA,$11-30,Yes,No,Yes,Yes,No,NA,Street,Yes,NA,No,Yes,Casual,Loud,No,NA,No,No,No,NA,Yes,No,Indian; Bangladeshi; ,NA,NA,NA,NA,Dinner,NA,Yes
13,Baar Baar,13 E 1st St,10003,310,4.0,East Village,A,$31-60,Yes,Yes,No,Yes,Yes,NA,Street,No,Yes,Yes,Yes,Casual,Average,Full Bar,Yes,Yes,Free,No,No,Yes,Yes,Gastropubs; Indian; Breakfast & Brunch; ,NA,Yes,Yes,Yes,"Brunch, Lunch, Dinner, Dessert","Trendy, Intimate, Romantic, Classy, Upscale",NA
14,Pippali,129 E 27th St,10016,637,4.0,Flatiron,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,No,Yes,Yes,Casual,Average,Full Bar,NA,No,No,No,NA,Yes,Yes,Indian; ,NA,NA,Yes,NA,Dinner,Casual,NA
15,Mughlai Indian Cuisine,329 3rd Ave,10010,313,4.0,Kips Bay,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Quiet,Beer & Wine Only,NA,No,No,No,NA,Yes,Yes,Indian; ,NA,NA,Yes,NA,"Lunch, Dinner","Casual, Intimate",NA
16,Tikka Indian Grill,185 Grand St,11211,231,4.5,Williamsburg - North Side,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,Yes,Yes,Yes,Casual,Average,Beer & Wine Only,No,No,Free,No,NA,Yes,Yes,Indian; ,Yes,Yes,Yes,Yes,"Lunch, Dinner",Casual,Yes
