,restaurant_name,retaurant_address,restaurant_zipcode,restaurant_reviewcount,restaurant_rating,restaurant_neighobrhood,Hygiene_score,price_range,Liked by Vegetarians,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Bitcoin,Parking,Bike Parking,Wheelchair Accessible,Good for Kids,Good for Groups,Attire,Noise Level,Alcohol,Happy Hour,Outdoor Seating,Wi-Fi,Has TV,Dogs Allowed,Waiter Service,Caters,Category,Has Soy-free Options,Has Dairy-free Options,Liked by Vegans,Has Gluten-free Options,Good For,Ambience,Gender Neutral Restrooms
0,Ravagh Persian Grill,125 1st Ave,10003,174,4.0,East Village,A,$11-30,NA,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,Full Bar,NA,No,No,No,NA,Yes,Yes,Persian/Iranian; Middle Eastern; Imported Food; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,Yes
1,Ravagh Persian Grill,11 E 30th St,10016,680,4.0,Midtown East,A,$11-30,NA,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,Full Bar,NA,No,No,No,NA,Yes,Yes,Middle Eastern; Persian/Iranian; Mediterranean; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,Yes
2,Taste of Persia,12 W 18th St,10011,272,4.5,Flatiron,NA,$11-30,Yes,No,No,Yes,Yes,NA,Street,Yes,NA,Yes,No,Casual,Average,No,NA,No,Free,No,NA,NA,Yes,Persian/Iranian; ,NA,NA,NA,NA,Lunch,Casual,NA
3,Miraj Healthy Grill,120 E 34th St,10016,81,4.5,"Murray Hill, Midtown East",A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,"Street, Validated",Yes,Yes,Yes,Yes,Casual,Quiet,No,No,Yes,Free,Yes,NA,Yes,Yes,Persian/Iranian; Mediterranean; Halal; ,NA,NA,NA,NA,NA,Casual,NA
4,Papa Kebab Bistro,361 W 17th St,10011,200,4.0,Chelsea,A,$11-30,Yes,No,Yes,Yes,Yes,No,Street,Yes,NA,Yes,Yes,Casual,Average,Beer & Wine Only,Yes,Yes,Free,Yes,Yes,NA,Yes,Turkish; Mediterranean; Persian/Iranian; ,NA,NA,Yes,NA,"Lunch, Dinner",Casual,Yes
5,Graffitti Earth,190 Church St,10013,17,3.5,TriBeCa,NA,$11-30,Yes,Yes,NA,NA,Yes,NA,NA,NA,NA,No,Yes,Casual,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indian; Persian/Iranian; Vegetarian; ,NA,NA,NA,NA,NA,NA,NA
6,Skewr Kabob Kitchen,34 East 23rd St,10010,18,4.5,Flatiron,NA,NA,NA,No,No,Yes,Yes,No,Street,No,Yes,NA,NA,NA,NA,No,NA,No,Free,No,No,No,Yes,Persian/Iranian; Mediterranean; Middle Eastern; ,NA,NA,NA,NA,NA,NA,NA
7,Sofreh,75 St Marks Ave,11217,109,4.0,Prospect Heights,NA,$11-30,Yes,Yes,No,No,Yes,NA,NA,No,Yes,Yes,Yes,Casual,Average,Full Bar,NA,Yes,No,No,NA,Yes,No,Persian/Iranian; ,NA,NA,Yes,NA,NA,NA,Yes
8,Persepolis,1407 2nd Ave,10021,405,4.0,"Upper East Side, Yorkville",A,$11-30,NA,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Quiet,Full Bar,NA,Yes,No,No,NA,Yes,Yes,Middle Eastern; Persian/Iranian; Salad; ,NA,NA,NA,NA,Dinner,NA,Yes
9,Ravagh Persian Grill,1135 1st Ave,10065,233,4.0,Upper East Side,A,$11-30,NA,Yes,Yes,Yes,Yes,NA,Street,No,Yes,Yes,Yes,Casual,Average,Full Bar,No,No,No,No,NA,Yes,Yes,Persian/Iranian; Mediterranean; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,Yes
10,Pars Grill House,249 W 26th St,10001,292,3.5,Chelsea,A,$11-30,NA,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,Full Bar,NA,Yes,Free,Yes,NA,NA,Yes,Middle Eastern; Persian/Iranian; ,NA,NA,NA,NA,Dinner,Casual,Yes
11,Colbeh,32 W 39th St,10018,125,2.5,Midtown West,A,$31-60,NA,Yes,Yes,Yes,Yes,No,Street,Yes,NA,Yes,Yes,Casual,Average,Full Bar,NA,No,Free,Yes,No,Yes,Yes,Persian/Iranian; Mediterranean; Kosher; ,NA,NA,NA,NA,"Lunch, Dinner",NA,NA
12,Yemen Cafe & Restaurant,176 Atlantic Ave,11201,427,4.5,Cobble Hill,A,$11-30,Yes,No,No,Yes,Yes,No,Street,Yes,NA,Yes,Yes,Casual,Average,No,NA,No,No,No,NA,Yes,Yes,Middle Eastern; Cafes; Soup; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,Yes
13,Seven Valleys,936 Washington St,07030,16,4.5,NA,NA,NA,Yes,No,No,Yes,Yes,No,NA,No,NA,NA,NA,NA,NA,No,No,No,No,No,No,Yes,Yes,Persian/Iranian; ,Yes,NA,NA,NA,NA,NA,Yes
14,Kubeh,464 Avenue Of The Americas,10011,145,4.0,Greenwich Village,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,"Garage, Street",Yes,Yes,Yes,Yes,Casual,Average,Full Bar,Yes,Yes,No,No,No,Yes,Yes,Middle Eastern; Bars; Tapas/Small Plates; ,NA,NA,NA,NA,"Lunch, Dinner","Casual, Trendy",Yes
15,Sami’s Kabab House,35-57 Crescent St,11106,240,4.5,Astoria,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,No,NA,No,No,Yes,NA,Yes,Yes,Afghan; Kebab; Halal; ,NA,NA,Yes,NA,"Lunch, Dinner",Casual,Yes
16,Miriam,79 5th Ave,11217,874,4.0,Park Slope,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,Yes,Yes,Yes,Casual,Average,Beer & Wine Only,Yes,Yes,Free,No,NA,Yes,Yes,Wine Bars; Mediterranean; Breakfast & Brunch; ,NA,NA,Yes,NA,Brunch,Casual,Yes
17,Persian Cuisine Taperia,132 Montague St,11201,7,5.0,Brooklyn Heights,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mediterranean; Persian/Iranian; Gastropubs; ,NA,NA,NA,NA,NA,NA,NA
18,Khyber Pass,34 Saint Mark's Pl,10003,328,3.5,East Village,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,No,Yes,Casual,Average,Beer & Wine Only,NA,Yes,No,Yes,NA,NA,Yes,Afghan; ,NA,NA,NA,NA,"Dinner, Late Night",Casual,Yes
19,Afghan Kebab House II,1345 2nd Ave,10021,168,4.0,Upper East Side,A,$11-30,NA,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,No,Yes,Casual,Average,No,NA,No,No,No,NA,NA,Yes,Afghan; Seafood; ,NA,NA,NA,NA,Dinner,Casual,Yes
20,Kebab Empire,934 8th Ave,10019,149,4.5,"Midtown West, Hell's Kitchen",P,Under $10,Yes,No,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Casual,Average,No,NA,No,Free,Yes,NA,No,Yes,Kebab; Mediterranean; Halal; ,NA,NA,Yes,NA,"Lunch, Dinner",Casual,Yes
21,Taam Tov,41 W 47th St,10036,118,3.5,Midtown West,A,$11-30,NA,No,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,Beer & Wine Only,NA,No,Free,Yes,NA,NA,Yes,Kosher; Uzbek; ,NA,NA,NA,NA,Lunch,Casual,NA
