,restaurant_name,retaurant_address,restaurant_zipcode,restaurant_reviewcount,restaurant_rating,restaurant_neighobrhood,Hygiene_score,price_range,Liked by Vegetarians,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Bitcoin,Parking,Bike Parking,Wheelchair Accessible,Good for Kids,Good for Groups,Attire,Noise Level,Alcohol,Happy Hour,Outdoor Seating,Wi-Fi,Has TV,Dogs Allowed,Waiter Service,Caters,Category,Has Soy-free Options,Has Dairy-free Options,Liked by Vegans,Has Gluten-free Options,Good For,Ambience,Gender Neutral Restrooms
0,Wasabi Sushi & Bento,200 BroadwayFulton Street Station,10038,107,4,Financial District,A,$11-30,Yes,No,No,Yes,Yes,No,NA,No,Yes,Yes,No,Casual,Average,No,No,Yes,Free,No,No,No,Yes,Japanese; Sushi Bars; ,NA,NA,NA,NA,Lunch,"Casual, Trendy",NA
1,Kuu Ramen,20 John St,10038,510,3.5,Financial District,A,$11-30,Yes,No,Yes,Yes,Yes,NA,NA,No,NA,No,No,Casual,Average,Beer & Wine Only,NA,No,No,No,NA,Yes,No,Ramen; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,NA
2,Takahachi Bakery,25 Murray St,10007,779,4,"Civic Center, TriBeCa",A,$11-30,Yes,No,No,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,No,NA,No,No,No,NA,No,Yes,Bakeries; Japanese; Coffee & Tea; ,NA,NA,NA,NA,"Breakfast, Lunch, Dessert",Casual,Yes
3,Blue Ribbon Sushi Bar - Hudson Eats,225 Liberty StHudson Eats,10281,124,3.5,Battery Park,A,$11-30,Yes,No,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Casual,Average,Beer & Wine Only,Yes,No,Free,No,NA,Yes,Yes,Sushi Bars; Japanese; ,NA,NA,NA,NA,Lunch,Casual,Yes
4,Honshu,95 Greene St,7302,227,4,NA,NA,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,Yes,Yes,Yes,Casual,Average,Full Bar,Yes,Yes,No,Yes,No,Yes,Yes,Sushi Bars; Asian Fusion; Japanese; ,NA,NA,Yes,NA,"Lunch, Dinner","Casual, Trendy",NA
5,Sakura of Japan,29 John St,10038,116,4,Financial District,A,Under $10,NA,No,Yes,Yes,No,NA,Garage,Yes,NA,Yes,No,NA,Average,No,NA,No,No,No,NA,No,No,Japanese; Food Stands; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,NA
6,Kome Waza,40 Water St,10004,147,4,Financial District,A,$11-30,NA,No,Yes,Yes,Yes,NA,NA,No,No,No,No,Casual,Average,No,NA,No,No,No,No,Yes,No,Japanese; Salad; Poke; ,NA,NA,NA,NA,Lunch,"Casual, Trendy",NA
7,Chikarashi,227 Canal St,10013,454,4,Nolita,A,$11-30,NA,No,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,No,Casual,Average,No,NA,No,Free,No,NA,No,Yes,Japanese; Hawaiian; Poke; ,NA,NA,NA,NA,Lunch,"Casual, Trendy",NA
8,DOMODOMO,140 W Houston St,10012,700,4,Greenwich Village,C,$31-60,NA,Yes,No,No,Yes,No,Street,Yes,No,No,Yes,Casual,Average,Beer & Wine Only,NA,No,No,No,No,Yes,Yes,Japanese; Sushi Bars; ,NA,NA,NA,NA,Dinner,Intimate,Yes
9,Rabbit House,76 Forsyth St,10002,177,4.5,Lower East Side,A,$11-30,Yes,Yes,No,Yes,Yes,NA,NA,No,No,No,No,Casual,Quiet,Beer & Wine Only,Yes,No,Free,No,NA,No,No,Tapas Bars; Asian Fusion; Izakaya; ,NA,NA,NA,NA,"Brunch, Dinner","Casual, Intimate",Yes
10,Hirohisa,73 Thompson St,10012,131,4.5,South Village,A,Above $61,NA,Yes,No,No,Yes,NA,Street,Yes,NA,No,No,Casual,Quiet,Beer & Wine Only,NA,No,No,No,NA,NA,Yes,Japanese; ,NA,NA,NA,NA,Dinner,"Classy, Upscale",NA
11,Go! Go! Curry!,12 John StWorld Trade Center Stadium,10038,329,4,Financial District,A,Under $10,Yes,No,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,No,Casual,Average,No,No,No,No,Yes,NA,NA,No,Japanese Curry; ,NA,NA,NA,NA,Lunch,Casual,NA
12,Komegashi Too,99 Town Square Pl,7310,404,3.5,NA,NA,$11-30,NA,Yes,Yes,Yes,Yes,NA,"Garage, Street, Validated",Yes,NA,Yes,Yes,Casual,Average,Full Bar,Yes,No,No,Yes,NA,NA,Yes,Japanese; Sushi Bars; Bars; ,NA,NA,NA,NA,Dinner,Casual,NA
13,Teppan Bar & Grill,319 Warren St,7302,493,4,NA,NA,$11-30,Yes,Yes,Yes,Yes,Yes,No,"Garage, Street",Yes,Yes,Yes,Yes,Casual,Average,Full Bar,NA,No,Free,Yes,No,Yes,Yes,Sushi Bars; Teppanyaki; Asian Fusion; ,NA,Yes,Yes,NA,Dinner,Casual,Yes
14,Menya Jiro- Fidi,123 William St,10038,118,4,Financial District,NA,$11-30,Yes,No,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Casual,Average,No,NA,No,No,No,NA,Yes,No,Ramen; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,Yes
15,Fukurou,87 MacDougal St,10012,285,4,Greenwich Village,A,$11-30,NA,Yes,No,No,Yes,NA,Street,Yes,NA,No,Yes,Casual,Average,Beer & Wine Only,NA,Yes,No,No,NA,NA,No,Japanese; Sushi Bars; ,NA,NA,NA,NA,Dinner,Casual,NA
16,Bohemian Restaurant,57 Great Jones St,10012,689,4.5,NoHo,B,$31-60,Yes,Yes,No,No,Yes,NA,Street,No,Yes,No,No,Casual,Quiet,Full Bar,No,No,No,No,No,Yes,No,Japanese; Cocktail Bars; ,NA,NA,NA,NA,Dinner,Intimate,Yes
17,Kaede Japanese Restaurant,90 Chambers St,10007,166,3.5,"Civic Center, TriBeCa",A,$11-30,NA,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Casual,Quiet,Beer & Wine Only,NA,No,No,Yes,NA,Yes,No,Japanese; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,NA
18,Zutto Japanese American Pub,77 Hudson St,10013,831,4,TriBeCa,A,$11-30,Yes,Yes,Yes,Yes,Yes,No,Street,Yes,NA,Yes,Yes,Casual,Average,No,NA,Yes,Free,Yes,No,Yes,No,Sushi Bars; Ramen; ,Yes,Yes,Yes,NA,Dinner,Casual,Yes
19,Cocoron,37 Kenmare St,10012,577,4,"Nolita, Little Italy",B,$11-30,Yes,No,No,No,No,NA,Street,No,NA,No,No,Casual,Average,Beer & Wine Only,NA,No,No,No,NA,Yes,No,Japanese; Noodles; Soup; ,NA,NA,Yes,NA,Dinner,Casual,Yes
20,Shigure,277 Church St,10013,87,4,TriBeCa,NA,$31-60,Yes,Yes,No,No,Yes,No,Street,No,No,No,Yes,Casual,Quiet,Full Bar,Yes,No,Free,No,No,Yes,No,Japanese; Cocktail Bars; Tapas Bars; ,NA,NA,NA,NA,"Dinner, Late Night","Casual, Trendy",NA
21,Yakitori Tora,72 Kenmare St,10012,92,4,"Nolita, Little Italy",A,$31-60,Yes,Yes,No,No,Yes,No,NA,Yes,NA,No,No,Casual,Quiet,Beer & Wine Only,NA,No,No,No,NA,Yes,No,Tapas/Small Plates; Japanese; Barbeque; ,NA,NA,NA,NA,Dinner,"Casual, Intimate",Yes
22,Cocoron,16 Delancey St,10002,928,4,Lower East Side,A,$11-30,Yes,No,No,No,No,No,Street,Yes,NA,No,Yes,Casual,Average,Beer & Wine Only,NA,No,Free,No,NA,Yes,No,Japanese; Noodles; Vegan; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,Yes
23,Gohan-ya,14A Orchard St,10002,40,4.5,"Chinatown, Lower East Side",A,$31-60,NA,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,No,No,NA,Average,Beer & Wine Only,NA,No,No,No,NA,Yes,Yes,Japanese; Gluten-Free; Comfort Food; ,NA,NA,NA,Yes,Dinner,Casual,NA
24,Takahachi Tribeca Restaurant,145 Duane St,10013,212,3.5,TriBeCa,A,$31-60,NA,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,Full Bar,NA,No,No,No,NA,NA,No,Sushi Bars; ,NA,NA,NA,NA,Dinner,Casual,NA
25,Nobu Downtown,195 Broadway,10007,236,3.5,Financial District,NA,Above $61,NA,Yes,No,No,Yes,NA,NA,Yes,NA,No,Yes,Dressy,Average,Full Bar,No,No,Free,No,NA,Yes,NA,Japanese; Sushi Bars; Asian Fusion; ,NA,Yes,NA,NA,"Lunch, Dinner, Dessert","Trendy, Romantic, Classy, Upscale",NA
26,SHOJI at 69 Leonard St,69 Leonard St,10013,31,4.5,TriBeCa,A,Above $61,NA,Yes,No,Yes,Yes,NA,NA,No,NA,No,No,Casual,Quiet,Full Bar,NA,No,No,No,NA,Yes,No,Sushi Bars; Japanese; Seafood; ,NA,NA,NA,NA,Dinner,Classy,Yes
27,Raku,48 Macdougal St,10012,125,4.5,South Village,NA,$11-30,Yes,Yes,Yes,Yes,Yes,No,Street,Yes,No,Yes,Yes,Casual,Average,Beer & Wine Only,No,No,No,No,No,Yes,No,Japanese; Noodles; ,NA,NA,Yes,NA,"Lunch, Dinner","Casual, Trendy, Intimate, Classy",Yes
