,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
0,No,Yes,Beer & Wine Only,"Trendy, Intimate",Casual,No,Japanese; Comfort Food; Tapas/Small Plates; ,No,No,No,Yes,Dinner,Yes,No,Yes,NA,NA,NA,No,A,NA,NA,Average,No,Street,No,No,Yes,No,No,$11-30,Benemon,East Village,4.5,434,10003,108 E 4th St
1,NA,Yes,Full Bar,Casual,Casual,Yes,Szechuan; Bars; ,No,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,Yes,NA,NA,NA,Yes,A,NA,Yes,Average,Yes,Street,Yes,NA,Yes,NA,No,$11-30,Han Dynasty,East Village,4.0,1066,10003,90 3rd Ave
2,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Japanese; Noodles; ,No,No,NA,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,Yes,Yes,Average,No,Street,No,No,NA,NA,No,$11-30,Soba-ya,East Village,4.0,1365,10003,229 E 9th St
3,NA,Yes,Beer & Wine Only,"Casual, Trendy",Casual,No,Szechuan; ,NA,No,No,NA,"Lunch, Dinner",Yes,Yes,No,NA,NA,NA,No,A,NA,NA,NA,No,NA,Yes,No,NA,Yes,Free,$11-30,Szechuan Mountain House,East Village,4.0,178,10003,23 St Marks Pl
4,No,Yes,Beer & Wine Only,Casual,Casual,No,Korean; ,Yes,No,NA,NA,"Lunch, Dinner",Yes,Yes,NA,Yes,Yes,Yes,No,A,Yes,Yes,Average,No,Street,Yes,No,NA,NA,No,Under $10,Woorijip Authentic Korean Food,"Koreatown, Midtown West",4.0,2471,10001,12 W 32nd St
5,No,Yes,Full Bar,"Casual, Trendy",Casual,Yes,Korean; Gastropubs; Tapas/Small Plates; ,No,Yes,No,Yes,"Lunch, Dinner",Yes,No,Yes,Yes,Yes,Yes,No,A,Yes,Yes,Average,No,"Garage, Street",Yes,No,Yes,Yes,No,$11-30,Barn Joo 35,Midtown West,4.5,1239,10001,34 W 35th St
6,NA,Yes,NA,NA,NA,No,Grocery; Korean; Seafood Markets; ,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Street,Yes,NA,NA,NA,NA,$11-30,H Mart,"Koreatown, Midtown West",3.5,170,10001,38 W 32nd St
7,No,Yes,Beer & Wine Only,Casual,Casual,No,Korean; Barbeque; Beer Bar; ,No,No,No,NA,"Lunch, Dinner",Yes,Yes,No,Yes,Yes,Yes,No,A,NA,NA,Loud,No,Street,No,Yes,Yes,Yes,No,$11-30,Jongro BBQ,"Koreatown, Midtown West",4.0,1390,10001,22 W 32nd StFl 2
8,No,Yes,Beer & Wine Only,NA,NA,No,Korean; American (New); Tapas/Small Plates; ,Yes,No,No,NA,NA,NA,NA,Yes,NA,NA,NA,No,NA,NA,Yes,NA,No,Street,Yes,Yes,Yes,No,No,NA,Anytime,"Koreatown, Midtown West",5.0,6,10001,23 W 32nd StFl 3
9,No,Yes,Beer & Wine Only,Casual,Casual,No,Korean; ,No,No,NA,NA,"Lunch, Dinner, Late Night",Yes,Yes,NA,Yes,Yes,Yes,No,NA,Yes,Yes,Average,No,Street,Yes,No,NA,NA,Free,$11-30,BCD Tofu House,"Koreatown, Midtown West",4.0,1738,10001,5W 32nd St
