,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
0,NA,Yes,Full Bar,Casual,Casual,Yes,Mexican; ,No,Yes,NA,NA,Dinner,Yes,Yes,NA,NA,NA,NA,Yes,A,NA,Yes,Average,Yes,Street,Yes,Yes,NA,NA,No,$11-30,Casa Enrique,"Hunters Point, Long Island City",4.0,991,11101,5-48 49th Ave
1,NA,Yes,Full Bar,"Casual, Trendy",Casual,Yes,Mexican; Vegan; Bars; ,NA,Yes,NA,NA,"Brunch, Lunch, Dinner",Yes,Yes,No,NA,NA,NA,No,A,Yes,Yes,Average,No,Street,Yes,No,Yes,NA,No,$11-30,Jajaja,"Lower East Side, Chinatown",4.5,508,10002,162 E Broadway
2,NA,No,Beer & Wine Only,Casual,Casual,Yes,Mexican; ,Yes,Yes,NA,NA,"Lunch, Dinner",No,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,Yes,No,NA,NA,No,$11-30,Tacos Cuautla Morelos,"East Village, Alphabet City",3.5,106,10009,438 E 9th St
3,NA,Yes,Full Bar,Casual,Casual,Yes,Mexican; Bars; ,Yes,Yes,NA,Yes,Dinner,Yes,No,Yes,NA,NA,NA,Yes,A,Yes,Yes,Average,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Toloache Thompson,Greenwich Village,4.0,407,10012,205 Thompson St
4,NA,Yes,Full Bar,Casual,Casual,Yes,Mexican; Latin American; Breakfast & Brunch; ,Yes,Yes,NA,Yes,"Dinner, Late Night",Yes,No,Yes,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,Yes,NA,NA,No,$11-30,El Sombrero,Lower East Side,3.5,308,10002,108 Stanton St
5,NA,Yes,NA,NA,NA,NA,Tacos; ,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Borrachito,"East Village, Alphabet City",4.5,15,10009,206 Avenue AInside the Garret East (East Village)
6,NA,Yes,NA,NA,NA,NA,Mexican; ,NA,Yes,No,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,NA,No,NA,Yes,No,NA,No,No,NA,De Mole,Williamsburg - North Side,5.0,44,11211,2 Hope St
7,No,Yes,Full Bar,NA,NA,No,Mexican; ,No,No,No,NA,NA,Yes,No,Yes,NA,Yes,NA,Yes,A,NA,Yes,NA,No,Street,Yes,Yes,Yes,Yes,Free,NA,Taco Electrico,"Union Square, Gramercy, Flatiron",3.5,48,10003,201 Park Ave S
8,No,Yes,Beer & Wine Only,Casual,Casual,Yes,Mexican; ,Yes,Yes,No,Yes,"Lunch, Dinner",No,Yes,No,Yes,Yes,NA,Yes,A,Yes,Yes,Average,Yes,Street,Yes,No,NA,NA,Free,Under $10,El Diablito Taqueria,East Village,4.0,273,10003,60 E 3rd St
9,No,Yes,No,Casual,Casual,Yes,Mexican; Tex-Mex; ,Yes,Yes,No,NA,Dinner,Yes,Yes,Yes,NA,NA,NA,No,B,NA,NA,Average,No,Street,Yes,No,NA,NA,Free,$11-30,Paquito’s,East Village,3.5,236,10003,143 1st Ave
10,NA,Yes,Full Bar,Casual,Casual,Yes,Latin American; Tapas Bars; Cocktail Bars; ,No,No,No,Yes,Dinner,Yes,No,Yes,Yes,NA,NA,Yes,A,Yes,Yes,Loud,Yes,Street,Yes,Yes,NA,NA,No,$11-30,Yuca Bar,"East Village, Alphabet City",4.0,1654,10009,111 Avenue A
