,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
0,NA,Yes,Beer & Wine Only,NA,NA,Yes,Chinese; Noodles; ,Yes,Yes,NA,NA,NA,No,Yes,Yes,NA,NA,NA,Yes,A,NA,NA,NA,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Dun Huang,Morningside Heights,4,37,10027,1268 Amsterdam Ave
1,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,American (New); Cafes; Breakfast & Brunch; ,No,Yes,NA,Yes,"Brunch, Lunch",Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,Yes,Yes,NA,Free,$11-30,Flat Top,Morningside Heights,4,399,10027,1241 Amsterdam Ave
2,No,Yes,No,Casual,Casual,Yes,American (New); ,Yes,No,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,No,No,No,No,$11-30,Dig Inn,Morningside Heights,4,279,10025,2884 Broadway
3,No,Yes,Beer & Wine Only,NA,NA,No,Sushi Bars; ,Yes,Yes,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,Yes,Yes,Yes,Yes,Free,NA,Kikoo Sushi,Manhattan Valley,4.5,4,10025,998 Columbus Ave
4,NA,No,Beer & Wine Only,Casual,Casual,Yes,Italian; ,No,Yes,NA,NA,Dinner,Yes,No,NA,NA,NA,NA,No,B,NA,NA,Average,Yes,Street,Yes,No,Yes,NA,No,$11-30,Max Soha,Morningside Heights,4,384,10027,1274 Amsterdam Ave
5,No,Yes,Full Bar,Casual,Casual,No,American (Traditional); Breakfast & Brunch; ,No,Yes,NA,Yes,"Brunch, Lunch",Yes,Yes,NA,NA,Yes,NA,No,A,NA,NA,Average,No,Street,Yes,No,Yes,Yes,Free,$11-30,FriedmanŠ—Ès,Morningside Heights,3.5,278,10027,1187 Amsterdam Ave
6,No,Yes,Full Bar,"Casual, Intimate",Casual,Yes,Ethiopian; African; Bars; ,Yes,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,Yes,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,Yes,Yes,Yes,Yes,No,$11-30,Massawa,Morningside Heights,4,247,10027,1239 Amsterdam Ave
7,NA,Yes,Full Bar,NA,Casual,NA,Bars; American (Traditional); ,NA,Yes,NA,Yes,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,Average,Yes,NA,Yes,No,NA,NA,NA,NA,eŠ—Ès BAR,Morningside Heights,4,6,10025,2888 Broadway
8,NA,NA,NA,NA,NA,NA,Bars; Tapas/Small Plates; Pizza; ,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,Bar314,Morningside Heights,5,8,10027,1260 Amsterdam Ave
9,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Korean; ,No,Yes,NA,Yes,Dinner,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,Yes,Street,Yes,No,NA,NA,No,$11-30,Mill Korean,Morningside Heights,3,302,10025,2895 Broadway
10,No,Yes,Full Bar,Casual,Casual,No,Seafood; Bars; ,Yes,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,Yes,NA,Yes,NA,No,A,Yes,Yes,Average,Yes,Street,Yes,Yes,No,No,Paid,$11-30,LoloŠ—Ès Seafood Shack,Harlem,4,571,10026,303 W 116th St
11,NA,Yes,Full Bar,Casual,Casual,Yes,Thai; Noodles; Soup; ,Yes,Yes,No,NA,"Lunch, Dinner",Yes,Yes,NA,Yes,NA,NA,No,A,NA,Yes,Average,Yes,Street,Yes,Yes,Yes,Yes,No,$11-30,Thai Market,Manhattan Valley,4,904,10025,960 Amsterdam Ave
12,NA,NA,NA,NA,NA,NA,Food Trucks; Barbeque; Korean; ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KALBI,Morningside Heights,4.5,3,10026,117TH ST & BROADWAY
13,NA,Yes,Full Bar,Casual,Casual,Yes,Cajun/Creole; Seafood; ,Yes,Yes,No,NA,"Lunch, Dinner",Yes,Yes,Yes,NA,NA,NA,Yes,C,NA,NA,Average,No,Street,Yes,Yes,Yes,Yes,No,$11-30,Shaking Crab - Upper West Side,Morningside Heights,3.5,221,10025,2869 Broadway
14,NA,Yes,No,Casual,Casual,Yes,Vietnamese; ,Yes,Yes,NA,NA,"Lunch, Dinner",No,Yes,NA,NA,NA,NA,No,A,Yes,Yes,Average,No,Street,Yes,No,No,NA,No,$11-30,Saiguette,Manhattan Valley,4.5,514,10025,935 Columbus Ave
15,No,Yes,No,"Casual, Trendy",Casual,No,Chinese; Noodles; Asian Fusion; ,Yes,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,NA,NA,NA,No,A,NA,NA,Average,Yes,Street,Yes,No,No,Yes,Free,$11-30,Junzi Kitchen,Morningside Heights,4,131,10025,2896 Broadway
16,NA,Yes,Full Bar,Romantic,Casual,Yes,Italian; Breakfast & Brunch; ,Yes,Yes,NA,Yes,Dinner,Yes,Yes,NA,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,Yes,Yes,NA,No,$11-30,Pisticci,Harlem,4,755,10027,125 La Salle St
17,NA,Yes,Full Bar,Casual,Casual,Yes,Italian; ,Yes,Yes,NA,NA,"Brunch, Dinner",Yes,Yes,Yes,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,Yes,Yes,Yes,NA,Free,$11-30,Tartina,Morningside Heights,4,234,10025,1034 Amsterdam Ave
18,NA,Yes,Beer & Wine Only,NA,Casual,NA,Cafes; Coffee & Tea; Tabletop Games; ,No,No,NA,Yes,NA,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,NA,No,Yes,No,NA,Free,Under $10,Hex & Company,Morningside Heights,4.5,31,10025,2871 Broadway
