,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
0,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Indian; Pakistani; ,No,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Yes,Yes,NA,Yes,A,Yes,Yes,Average,Yes,Street,Yes,Yes,NA,NA,Free,$11-30,The MasalaWala,Lower East Side,4.5,1267,10002,179 Essex St
1,No,Yes,Full Bar,"Casual, Trendy, Intimate",Casual,Yes,Mediterranean; Tapas/Small Plates; Wine Bars; ,Yes,Yes,No,Yes,Dinner,Yes,No,Yes,NA,NA,NA,No,A,Yes,Yes,Average,Yes,Street,Yes,Yes,Yes,Yes,Free,$11-30,Balzem,Nolita,4.0,358,10012,202 Mott St
2,NA,Yes,Full Bar,Casual,Casual,Yes,Filipino; ,Yes,No,NA,NA,"Brunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,B,NA,Yes,Average,No,Street,Yes,Yes,NA,NA,No,$11-30,Maharlika,East Village,4.0,1402,10003,111 1st Ave
3,No,Yes,Full Bar,NA,NA,Yes,Gastropubs; Burgers; Sports Bars; ,Yes,Yes,No,Yes,NA,No,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,NA,No,Street,Yes,Yes,No,No,Free,NA,East Village Tavern,"Alphabet City, East Village",5.0,19,10009,158 Avenue C
4,NA,Yes,Full Bar,Casual,Casual,Yes,Moroccan; ,No,No,NA,Yes,Dinner,Yes,Yes,Yes,NA,NA,NA,No,A,Yes,Yes,Average,Yes,Street,Yes,Yes,NA,NA,No,$11-30,Cafe Mogador,"East Village, Alphabet City",4.0,1770,10009,101 St Marks Pl
5,No,Yes,Full Bar,Casual,Casual,No,Korean; Bars; ,Yes,Yes,No,Yes,NA,Yes,No,Yes,Yes,NA,NA,No,NA,Yes,Yes,Average,No,"Garage, Street",Yes,Yes,Yes,No,Free,$11-30,Silver Factory,Williamsburg - South Side,4.5,122,11211,270 South 5th St
6,No,Yes,No,"Hipster, Casual, Trendy",Casual,No,Chinese; Noodles; Asian Fusion; ,Yes,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,NA,Yes,Yes,NA,No,NA,Yes,Yes,Average,No,Street,Yes,No,No,Yes,Free,$11-30,Junzi Kitchen,Greenwich Village,4.5,89,10012,170 Bleecker St
7,NA,Yes,Full Bar,Casual,Casual,Yes,French; Cajun/Creole; American (Traditional); ,No,No,NA,Yes,Dinner,Yes,No,NA,NA,NA,NA,No,A,Yes,Yes,Average,Yes,Street,Yes,Yes,Yes,NA,No,$11-30,Ducks Eatery,East Village,4.0,575,10003,351 E 12th St
8,NA,Yes,No,NA,NA,Yes,Mediterranean; Middle Eastern; ,Yes,Yes,NA,NA,NA,No,Yes,NA,NA,NA,NA,Yes,A,NA,NA,NA,No,NA,Yes,No,Yes,No,Free,Under $10,Zyara NY,Lower East Side,4.5,75,10002,57 Clinton St
9,No,Yes,Beer & Wine Only,Casual,Casual,No,Japanese; Sushi Bars; ,No,Yes,NA,Yes,"Lunch, Dinner",Yes,No,NA,NA,NA,NA,No,A,NA,Yes,Quiet,No,Street,Yes,Yes,NA,NA,No,$11-30,Ise Restaurant,East Village,4.5,315,10003,63 Cooper Sq
10,NA,Yes,Full Bar,Trendy,Casual,Yes,Tapas/Small Plates; Spanish; ,Yes,Yes,NA,Yes,"Brunch, Lunch, Dinner, Dessert",Yes,Yes,Yes,NA,NA,NA,Yes,A,Yes,Yes,Average,No,Street,Yes,Yes,Yes,No,Free,$11-30,Marcha Cocina East Village,"Alphabet City, East Village",4.5,105,10009,111 Ave C
11,No,No,Beer & Wine Only,Casual,Casual,Yes,Pubs; German; ,No,No,NA,NA,Dinner,Yes,No,NA,NA,NA,NA,No,NA,NA,NA,Loud,Yes,Street,Yes,Yes,NA,NA,No,$11-30,Zum Schneider,"Alphabet City, East Village",4.0,575,10009,107 Ave C
12,NA,Yes,Beer & Wine Only,Casual,NA,Yes,Sandwiches; Delis; Grocery; ,Yes,Yes,No,NA,"Lunch, Late Night",No,Yes,NA,NA,NA,NA,No,NA,NA,Yes,Average,No,Street,Yes,Yes,No,Yes,No,Under $10,Sunny and Annie’s,"Alphabet City, East Village",4.5,443,10003,94 Ave B
13,NA,Yes,No,NA,NA,Yes,Chinese; Kebab; Chicken Wings; ,No,No,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,Street,No,Yes,Yes,No,Free,NA,Gala BBQ,East Village,4.0,8,10003,92 3rd Ave
14,NA,Yes,Full Bar,"Hipster, Trendy",Casual,No,American (Traditional); ,NA,No,NA,NA,"Brunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,Yes,Average,No,NA,Yes,Yes,Yes,NA,Free,$11-30,Minnie’s,Lower East Side,4.0,98,10002,29 Clinton St
15,No,Yes,Beer & Wine Only,"Casual, Trendy",Casual,Yes,Vietnamese; ,Yes,No,No,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,Yes,Yes,Yes,No,$11-30,Madame Vo,East Village,4.0,564,10003,212 E 10th St
16,NA,Yes,Beer & Wine Only,"Casual, Trendy",Casual,Yes,Vietnamese; ,No,No,NA,Yes,Dinner,Yes,No,NA,NA,NA,NA,No,A,NA,Yes,Average,No,Street,No,No,Yes,Yes,Free,$11-30,Hanoi House,"East Village, Alphabet City",4.0,378,10009,119 Saint Marks Pl
17,NA,Yes,No,Casual,Casual,Yes,Latin American; Puerto Rican; Dominican; ,Yes,Yes,NA,NA,"Lunch, Dinner",No,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,Yes,No,NA,NA,No,Under $10,El Rinconcito,"Alphabet City, East Village",4.5,61,10009,408 E 10th St
18,NA,Yes,Beer & Wine Only,Casual,Casual,NA,Taiwanese; ,No,No,NA,Yes,Dinner,No,No,NA,Yes,NA,NA,No,A,NA,NA,Quiet,No,Street,Yes,No,Yes,Yes,Free,$11-30,Ho Foods,"East Village, Alphabet City",4.0,155,10009,110 E 7th St
19,NA,No,Beer & Wine Only,Casual,Casual,Yes,Ramen; ,No,No,NA,Yes,"Lunch, Dinner",No,No,NA,NA,NA,NA,No,A,Yes,NA,Average,No,Street,Yes,No,Yes,NA,No,$11-30,Minca,"East Village, Alphabet City",4.0,1583,10009,536 E 5th St
20,NA,Yes,No,Casual,Casual,Yes,Italian; ,Yes,No,NA,Yes,Lunch,No,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,No,Yes,NA,NA,Free,Under $10,Gaia Italian Café,Lower East Side,4.5,921,10002,251 E Houston St
21,NA,NA,NA,NA,NA,NA,Cafes; ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ハーブス,SoHo,5.0,5,10012,465 W Broadway
22,NA,Yes,Full Bar,"Casual, Trendy, Romantic, Classy",Casual,No,French; Cocktail Bars; Steakhouses; ,Yes,Yes,NA,NA,"Brunch, Lunch, Dinner, Dessert",Yes,No,Yes,NA,NA,NA,No,A,NA,NA,Average,Yes,Street,Yes,Yes,Yes,Yes,Free,$31-60,Boucherie West Village,West Village,4.5,803,10014,99 7th Ave S
23,NA,No,No,Casual,Casual,Yes,Latin American; Puerto Rican; ,Yes,Yes,No,NA,"Lunch, Dinner",No,Yes,NA,NA,NA,NA,Yes,B,NA,NA,Average,No,Street,Yes,No,NA,NA,No,$11-30,Casa Adela,"Alphabet City, East Village",4.0,405,10009,66 Ave C
24,NA,Yes,Full Bar,"Trendy, Intimate, Romantic, Classy",Casual,Yes,Italian; ,No,Yes,NA,Yes,Dinner,Yes,No,Yes,NA,NA,NA,Yes,A,NA,Yes,Average,No,"Garage, Street",Yes,Yes,Yes,Yes,Free,$11-30,Tableside Italian Cook Shoppe,East Village,4.5,173,10003,345 E 6th St
25,No,Yes,Full Bar,NA,NA,Yes,Gastropubs; ,NA,NA,No,Yes,NA,NA,NA,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,NA,Yes,Street,NA,Yes,Yes,Yes,NA,NA,The Hive,Williamsburg - North Side,4.5,24,11249,119 Kent Ave
26,No,Yes,Full Bar,Trendy,Casual,No,Ramen; ,No,No,No,NA,"Lunch, Dinner",Yes,Yes,No,Yes,Yes,Yes,No,A,Yes,Yes,Loud,No,Street,No,No,Yes,Yes,No,$11-30,Ippudo NY,East Village,4.0,9575,10003,65 4th Ave
27,NA,NA,NA,NA,NA,NA,Breakfast & Brunch; Comfort Food; Mediterranean; ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jack’s Wife Freda,Chelsea,5.0,4,10011,116 8th Ave
28,NA,Yes,Full Bar,Casual,Casual,No,Filipino; Thai; Asian Fusion; ,No,No,NA,Yes,Dinner,Yes,No,NA,NA,NA,NA,No,A,NA,NA,Average,Yes,Street,No,Yes,NA,NA,No,$11-30,Pig and Khao,Lower East Side,4.0,1368,10002,68 Clinton St
