,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
0,NA,Yes,Full Bar,NA,Casual,No,Russian; ,Yes,Yes,NA,Yes,Dinner,Yes,No,NA,NA,NA,NA,No,A,Yes,Yes,Average,No,Street,Yes,Yes,NA,NA,Free,$31-60,Mari Vanna,Flatiron,4.0,587,10003,41 E 20th St
1,No,Yes,Beer & Wine Only,Casual,NA,Yes,Diners; Ukrainian; ,Yes,Yes,No,Yes,"Brunch, Late Night",Yes,Yes,NA,Yes,Yes,NA,No,A,Yes,Yes,Average,Yes,"Garage, Street",Yes,No,Yes,Yes,Free,$11-30,Veselka,East Village,4.0,2288,10003,144 2nd Ave
2,NA,Yes,Full Bar,Intimate,Casual,Yes,Russian; French; ,No,No,NA,Yes,Late Night,No,No,NA,NA,NA,NA,No,A,NA,NA,Average,Yes,Street,No,Yes,NA,NA,No,$11-30,Anyway Cafe,East Village,4.0,198,10003,32 E 2nd St
3,NA,No,No,Casual,Casual,Yes,Ukrainian; ,No,No,NA,Yes,Lunch,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Quiet,No,Street,Yes,No,NA,NA,No,Under $10,Streecha,East Village,4.5,113,10003,33 E 7th St
4,NA,Yes,Full Bar,Casual,NA,Yes,Diners; Ukrainian; Greek; ,No,Yes,NA,NA,Late Night,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,No,NA,NA,No,Under $10,Odessa Restaurant,"East Village, Alphabet City",3.5,326,10009,119 Ave A
5,NA,Yes,Full Bar,Upscale,Dressy,Yes,Russian; ,Yes,Yes,NA,NA,Dinner,Yes,No,NA,NA,NA,NA,No,C,NA,NA,Average,No,Street,Yes,Yes,NA,NA,Free,$31-60,Onegin,Brighton Beach,3.5,322,10014,391 6th Ave
6,NA,NA,NA,NA,NA,NA,Food Trucks; Russian; ,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Babushkas Russian Dumplings,Union Square,3.0,2,10014,320 6th Ave
7,NA,Yes,Full Bar,Casual,Casual,No,Ukrainian; ,Yes,No,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,NA,NA,NA,Average,No,Street,Yes,Yes,Yes,NA,No,$11-30,Ukrainian East Village,East Village,4.0,272,10003,140 2nd Ave
8,NA,No,Beer & Wine Only,Casual,Casual,Yes,Modern European; ,No,No,NA,Yes,Dinner,Yes,No,NA,NA,NA,NA,No,A,NA,NA,Average,Yes,Street,Yes,Yes,NA,NA,No,$11-30,Kafana,"Alphabet City, East Village",4.0,381,10009,116 Ave C
9,No,Yes,No,NA,Casual,Yes,Food Trucks; Russian; ,Yes,Yes,Yes,NA,"Lunch, Dinner, Late Night",Yes,Yes,NA,NA,NA,NA,No,NA,NA,Yes,Average,Yes,"Street, Private Lot",Yes,No,Yes,Yes,Free,Under $10,Anton’s Dumplings,Williamsburg - North Side,4.5,56,11211,90 Havemeyer St
10,NA,Yes,Full Bar,Casual,Casual,Yes,Modern European; Wine Bars; Georgian; ,Yes,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,Yes,NA,NA,NA,Yes,A,Yes,Yes,Average,Yes,Street,Yes,Yes,Yes,Yes,No,$11-30,Old Tbilisi Garden,Greenwich Village,4.0,305,10012,174 Bleecker St
11,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Polish; Lounges; Wine Bars; ,Yes,Yes,NA,NA,NA,Yes,No,NA,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,Yes,Yes,NA,NA,No,$11-30,Klimat Lounge,East Village,4.0,134,10003,77 E 7th St
12,NA,Yes,Full Bar,Trendy,Casual,Yes,German; ,Yes,No,NA,Yes,Dinner,Yes,No,NA,NA,NA,NA,No,A,NA,Yes,Average,Yes,Street,Yes,Yes,NA,NA,Free,$31-60,Edi & the Wolf,"Alphabet City, East Village",4.0,403,10009,102 Ave C
13,NA,Yes,No,Casual,NA,Yes,Diners; Polish; ,No,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,Yes,A,NA,Yes,Average,No,Street,Yes,NA,NA,NA,No,$11-30,Little Poland,East Village,4.0,262,10003,200 2nd Ave
14,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,German; Czech; Austrian; ,Yes,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,Yes,NA,NA,NA,No,A,NA,NA,Average,Yes,"Garage, Street",Yes,Yes,Yes,NA,Free,$11-30,Doma Na Rohu,West Village,4.0,188,10014,27 1/2 Morton St
15,No,Yes,Full Bar,Casual,Casual,No,Polish; ,No,No,NA,Yes,Dinner,Yes,Yes,NA,Yes,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,No,NA,NA,Free,$11-30,Karczma,Greenpoint,4.5,503,11222,136 Greenpoint Ave
16,NA,NA,NA,NA,NA,NA,Russian; Ukrainian; Polish; ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cafe Matreshka,Greenwich Village,NA,NA,10011,179 Macdougal St
17,NA,Yes,Full Bar,Casual,Casual,Yes,Polish; ,Yes,Yes,NA,Yes,"Brunch, Lunch, Dinner",Yes,Yes,Yes,NA,NA,NA,Yes,A,Yes,Yes,Average,Yes,Street,Yes,Yes,Yes,No,No,$11-30,Dziupla,Williamsburg - North Side,4.0,184,11249,194 Bedford Ave
18,NA,Yes,Full Bar,Casual,Casual,No,German; Bars; ,Yes,No,No,NA,Dinner,Yes,No,Yes,NA,NA,NA,Yes,A,NA,Yes,Average,No,Street,Yes,Yes,NA,NA,No,$11-30,Lederhosen,West Village,4.0,308,10014,39 Grove St
19,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Juice Bars & Smoothies; Vegan; Kosher; ,Yes,Yes,NA,Yes,Dinner,Yes,Yes,NA,NA,NA,NA,No,A,Yes,NA,Average,Yes,Street,Yes,Yes,NA,NA,No,$11-30,Caravan of Dreams,East Village,3.5,493,10009,405 E 6th St
20,NA,Yes,Full Bar,Casual,Casual,Yes,Pubs; German; Venues & Event Spaces; ,No,No,No,Yes,"Dinner, Late Night",Yes,No,No,NA,NA,NA,Yes,A,NA,Yes,Loud,No,"Garage, Street",Yes,No,Yes,Yes,No,$11-30,Radegast Hall and Biergarten,Williamsburg - North Side,4.0,1260,11249,113 N 3rd St
21,NA,Yes,No,Casual,NA,No,Kosher; Delis; ,Yes,Yes,NA,Yes,NA,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,No,NA,NA,Free,$11-30,Gottlieb’s Restaurant,South Williamsburg,3.5,62,11211,352 Roebling St
22,No,Yes,No,Casual,Casual,Yes,Kosher; Burgers; ,Yes,Yes,No,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,Yes,B,NA,NA,Average,No,Street,Yes,Yes,Yes,NA,Free,$11-30,Mocha Burger,Greenwich Village,3.0,144,10012,496 Laguardia PlStreet Level
23,No,Yes,Beer & Wine Only,Casual,Casual,Yes,Vegetarian; Vegan; Kosher; ,Yes,Yes,NA,Yes,"Lunch, Dinner",No,Yes,NA,NA,NA,NA,No,A,Yes,Yes,Average,No,Street,Yes,Yes,NA,NA,Free,$11-30,Sacred Chow,Greenwich Village,4.0,519,10012,227 Sullivan St
24,NA,Yes,Beer & Wine Only,NA,Casual,Yes,Russian; ,Yes,Yes,NA,NA,Lunch,Yes,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Quiet,No,NA,Yes,Yes,NA,NA,No,$11-30,Matryoshka,Financial District,4.0,20,10038,88 Fulton St
25,No,Yes,Full Bar,NA,Casual,No,Russian; Bars; ,Yes,Yes,Yes,Yes,"Dinner, Late Night",Yes,No,Yes,Yes,Yes,Yes,Yes,A,Yes,Yes,Average,No,"Garage, Street",Yes,Yes,Yes,No,Free,$11-30,Russian Samovar Restaurant and Piano Bar,"Theater District, Midtown West",4.0,363,10019,256 W 52nd St
26,NA,Yes,Full Bar,Casual,Casual,Yes,Russian; ,No,Yes,NA,Yes,"Brunch, Dinner",Yes,No,Yes,NA,NA,NA,Yes,A,NA,Yes,Average,No,Street,Yes,Yes,Yes,Yes,No,$11-30,Masha and The Bear,East Williamsburg,4.5,196,11211,771 Grand St
27,NA,Yes,Full Bar,Intimate,Casual,Yes,Lounges; Russian; Jazz & Blues; ,No,No,NA,NA,Late Night,Yes,No,Yes,NA,NA,NA,No,A,NA,Yes,Average,No,Street,No,Yes,Yes,NA,No,$11-30,Russian Vodka Room,"Theater District, Midtown West",4.0,513,10019,265 W 52nd St
28,NA,Yes,Beer & Wine Only,NA,Casual,Yes,Uzbek; Russian; Halal; ,Yes,Yes,No,NA,NA,Yes,Yes,NA,NA,NA,NA,Yes,A,Yes,Yes,NA,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Farida Central Asian Cuisine & Grill,"Midtown West, Hell's Kitchen",4.5,88,10018,498 9th Ave
29,No,Yes,Full Bar,Classy,Dressy,No,Tea Rooms; Russian; Venues & Event Spaces; ,No,No,No,Yes,Dinner,Yes,No,No,NA,NA,NA,No,A,NA,NA,Quiet,No,Street,No,Yes,Yes,NA,Free,Above $61,The Russian Tea Room,Midtown West,3.0,877,10019,150 W 57th St
30,NA,Yes,Full Bar,NA,Casual,Yes,Russian; ,Yes,Yes,NA,Yes,Dinner,Yes,Yes,NA,NA,NA,NA,No,B,NA,NA,Quiet,No,Street,Yes,Yes,NA,NA,No,$11-30,Uncle Vanya Cafe,"Hell's Kitchen, Midtown West",3.0,111,10019,315 W 54th St
31,No,Yes,No,NA,Casual,No,Russian; ,Yes,Yes,No,NA,Lunch,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,NA,No,Street,Yes,No,No,Yes,Free,$11-30,Daa! Dumplings,"Hell's Kitchen, Midtown West",4.5,70,10019,1000S St & 8th Ave
32,NA,Yes,NA,NA,NA,NA,Cafes; Russian; Breakfast & Brunch; ,NA,No,NA,NA,NA,No,Yes,NA,NA,NA,NA,No,NA,NA,Yes,NA,Yes,NA,Yes,No,NA,NA,Free,Under $10,Dolya Cafe,NA,4.0,43,07302,128 Newark Ave
33,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Middle Eastern; Russian; Hookah Bars; ,Yes,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,No,NA,NA,NA,Yes,B,NA,NA,Average,Yes,Street,Yes,Yes,Yes,Yes,Free,$11-30,Old Baku,Flatbush,4.0,51,11218,115 Ditmas Ave
