,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
0,No,Yes,Beer & Wine Only,Casual,Casual,Yes,Specialty Food; Spanish; Imported Food; ,Yes,Yes,NA,Yes,Lunch,Yes,Yes,NA,NA,NA,NA,No,NA,NA,NA,Average,No,Street,Yes,No,NA,NA,Free,$11-30,Despaña,SoHo,4.5,529,10013,408 Broome St
1,NA,Yes,Full Bar,Trendy,Casual,No,Spanish; ,Yes,Yes,NA,Yes,Dinner,Yes,No,NA,Yes,NA,NA,Yes,A,Yes,Yes,Average,No,Street,Yes,Yes,NA,NA,Free,$31-60,Boqueria Spanish Tapas - Soho,South Village,4,874,10012,171 Spring St
2,NA,Yes,Full Bar,"Casual, Trendy, Intimate, Romantic, Classy",Casual,Yes,Wine Bars; Spanish; Tapas Bars; ,No,No,No,NA,"Brunch, Lunch, Dinner",Yes,Yes,Yes,NA,NA,NA,Yes,A,Yes,Yes,Average,No,Street,No,Yes,Yes,Yes,Free,$31-60,Tomiño Taberna Gallega,Little Italy,4.5,144,10013,192 Grand St
3,No,Yes,Full Bar,Classy,Casual,Yes,Cuban; Cocktail Bars; ,No,No,No,NA,"Dinner, Late Night",Yes,No,No,NA,NA,NA,No,NA,NA,NA,Average,No,Street,No,Yes,Yes,Yes,Free,$31-60,BlackTail,Battery Park,4.5,223,10004,22 Battery PlFl 2 Pier A
4,NA,Yes,Full Bar,Casual,Casual,No,Cocktail Bars; Latin American; Tapas/Small Plates; ,NA,Yes,NA,NA,"Lunch, Dinner",Yes,No,Yes,NA,NA,NA,Yes,A,NA,NA,NA,No,NA,Yes,Yes,Yes,Yes,Free,$11-30,Latin Social,Financial District,3.5,30,10038,75 Maiden Ln
5,NA,Yes,Full Bar,Trendy,Casual,Yes,Mediterranean; Spanish; Bars; ,No,No,NA,Yes,Dinner,Yes,No,No,NA,NA,NA,No,A,Yes,Yes,Average,No,Street,No,Yes,Yes,NA,No,$31-60,Gato,NoHo,4,1005,10012,324 Lafayette St
6,NA,Yes,Beer & Wine Only,NA,Casual,NA,Spanish; ,NA,Yes,NA,NA,NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,Under $10,Jordis Place,Two Bridges,4.5,7,10038,51 Catherine St
7,No,Yes,No,Casual,NA,Yes,Cuban; Sandwiches; ,Yes,Yes,NA,NA,Lunch,Yes,Yes,NA,NA,NA,NA,No,NA,NA,NA,Average,No,Street,Yes,No,NA,NA,No,$11-30,Sophie’s Cuban Cuisine,Financial District,3.5,398,10004,73 New St
8,No,Yes,Full Bar,Trendy,Casual,Yes,Spanish; Tapas Bars; Tapas/Small Plates; ,Yes,No,NA,Yes,Dinner,Yes,No,Yes,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,Yes,Yes,NA,NA,No,$31-60,Socarrat Paella Bar - Nolita,Nolita,4,426,10012,284 Mulberry St
9,NA,No,Beer & Wine Only,Casual,NA,No,Sandwiches; Cafes; Spanish; ,Yes,Yes,NA,NA,Dessert,No,Yes,NA,NA,NA,NA,No,A,NA,Yes,Quiet,No,Street,Yes,NA,NA,NA,Free,Under $10,La Churreria,Nolita,4,285,10012,284 Mulberry St
10,No,Yes,Full Bar,"Casual, Trendy, Intimate",Casual,Yes,Mediterranean; Tapas/Small Plates; Wine Bars; ,Yes,Yes,No,Yes,Dinner,Yes,No,Yes,NA,NA,NA,No,A,Yes,Yes,Average,Yes,Street,Yes,Yes,Yes,Yes,Free,$11-30,Balzem,Nolita,4,358,10012,202 Mott St
11,NA,Yes,Full Bar,Trendy,Casual,Yes,Mexican; Tapas/Small Plates; Tapas Bars; ,Yes,Yes,NA,Yes,"Brunch, Lunch, Dinner",Yes,No,Yes,NA,NA,NA,No,NA,NA,Yes,Average,Yes,Street,Yes,Yes,Yes,No,Free,$11-30,Anejo Tribeca,TriBeCa,3.5,264,10013,301 Church St
12,NA,Yes,Full Bar,Casual,Casual,Yes,Cuban; Mexican; ,No,Yes,NA,Yes,"Lunch, Dinner",No,Yes,NA,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,No,Yes,NA,No,$11-30,Cafe Habana,Nolita,4,3072,10012,17 Prince St
13,NA,Yes,Full Bar,NA,Casual,Yes,Cuban; ,No,Yes,No,NA,Dinner,Yes,No,NA,NA,NA,NA,No,A,Yes,Yes,Average,No,Street,Yes,Yes,NA,NA,No,$11-30,Cuba Restaurant and Rum Bar,Greenwich Village,4,1425,10012,222 Thompson St
14,No,Yes,Full Bar,Casual,Casual,Yes,Tapas Bars; Spanish; ,No,No,NA,NA,"Dinner, Late Night",Yes,No,NA,NA,NA,NA,No,A,NA,NA,Average,Yes,Street,Yes,Yes,NA,NA,No,$11-30,Kaña Tapas Bar,South Village,3.5,80,10013,324 Spring St
15,NA,No,No,NA,NA,Yes,Puerto Rican; Food Stands; ,No,No,NA,NA,NA,No,Yes,NA,NA,NA,NA,No,NA,NA,NA,Very Loud,No,NA,Yes,No,NA,NA,No,Under $10,Sandra’s Food Spot Cart,Financial District,4.5,30,10005,Nassua St
