,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
0,No,Yes,Beer & Wine Only,Casual,Casual,Yes,Thai; Malaysian; Vietnamese; ,Yes,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Yes,NA,Yes,Yes,B,Yes,Yes,Average,Yes,Street,Yes,Yes,Yes,Yes,Free,$11-30,LoveMama,East Village,4.0,3692,10003,174 2nd Ave
1,NA,Yes,Full Bar,Casual,Casual,Yes,Thai; ,No,Yes,No,Yes,Dinner,Yes,Yes,NA,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,Yes,Yes,NA,No,$11-30,Somtum Der,"East Village, Alphabet City",4.0,618,10009,85 Ave A
2,NA,Yes,No,NA,NA,NA,Thai; ,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Street,Yes,No,Yes,NA,No,NA,Eat’s Khao Man Gai,"East Village, Alphabet City",4.0,38,10009,518 E 6th St
3,NA,NA,NA,NA,NA,NA,Thai; ,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Thai Direct Bowls,"East Village, Alphabet City",4.5,11,10009,131 Avenue AGround Fl
4,NA,Yes,Beer & Wine Only,"Casual, Intimate",Casual,Yes,Thai; ,No,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,No,NA,NA,NA,No,NA,NA,Yes,Quiet,Yes,Street,Yes,Yes,Yes,No,Free,$11-30,Very Thai,"East Village, Alphabet City",4.5,76,10009,186 Avenue B
5,NA,Yes,No,"Casual, Intimate",Casual,Yes,Thai; ,Yes,Yes,NA,NA,Dinner,No,No,NA,NA,NA,NA,No,A,Yes,Yes,Quiet,No,Street,Yes,No,NA,NA,No,$11-30,Lui’s Thai Food,East Village,4.0,227,10003,128 E 4th St
6,No,Yes,Full Bar,"Trendy, Romantic, Classy",Casual,No,Thai; Asian Fusion; Vegetarian; ,Yes,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,NA,Yes,NA,No,A,Yes,Yes,Average,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Thai Villa,Flatiron,4.5,2117,10003,5 E 19th StG Floor
7,NA,Yes,Full Bar,NA,Casual,NA,"Thai; Bars; Beer, Wine & Spirits; ",Yes,Yes,No,Yes,NA,Yes,NA,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Average,No,NA,Yes,Yes,Yes,Yes,NA,NA,Noree Thai Bazaar,Lower East Side,4.5,49,10002,274 Grand St
8,No,Yes,Beer & Wine Only,Casual,Casual,Yes,Thai; ,Yes,Yes,No,NA,NA,Yes,Yes,NA,NA,NA,NA,Yes,B,NA,NA,Average,No,Street,Yes,Yes,Yes,No,Free,$11-30,Hub Thai,"East Village, Alphabet City",4.5,69,10009,105 Avenue A
9,No,Yes,Full Bar,"Casual, Trendy, Intimate, Romantic, Classy",Casual,No,Thai; Vegetarian; ,Yes,Yes,No,NA,"Lunch, Dinner",Yes,Yes,No,NA,Yes,NA,No,A,Yes,Yes,Average,No,NA,Yes,Yes,Yes,Yes,No,$11-30,Sabai Thai Restaurant,"Flatiron, Midtown East",4.5,115,10016,432 Park Ave S
