,restaurant_name,retaurant_address,restaurant_zipcode,restaurant_reviewcount,restaurant_rating,restaurant_neighobrhood,Hygiene_score,price_range,Liked by Vegetarians,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Bitcoin,Parking,Bike Parking,Wheelchair Accessible,Good for Kids,Good for Groups,Attire,Noise Level,Alcohol,Happy Hour,Outdoor Seating,Wi-Fi,Has TV,Dogs Allowed,Waiter Service,Caters,Category,Has Soy-free Options,Has Dairy-free Options,Liked by Vegans,Has Gluten-free Options,Good For,Ambience,Gender Neutral Restrooms
0,Subway,600 W Blue Starr Dr,74017,2,4.5,Midtown,NA,Under $10,NA,No,No,Yes,Yes,NA,NA,NA,NA,Yes,Yes,NA,Average,NA,NA,No,NA,No,NA,NA,NA,Sandwiches; Fast Food; ,NA,NA,NA,NA,NA,NA,NA
1,Hammett House Restaurant,1616 W Will Rogers Blvd,74017,51,3.5,Carbondale,NA,$11-30,Yes,Yes,No,Yes,Yes,NA,Private Lot,No,NA,Yes,Yes,Casual,Average,No,NA,No,Free,No,NA,NA,Yes,Seafood; American (Traditional); ,NA,NA,NA,NA,NA,Casual,NA
2,Charlie’s Chicken and BBQ,34 S Mill St,74361,16,3.5,NA,NA,Under $10,NA,No,No,Yes,Yes,NA,NA,No,Yes,Yes,Yes,Casual,Average,No,NA,No,No,Yes,NA,NA,Yes,Barbeque; American (Traditional); ,NA,NA,NA,NA,NA,NA,NA
3,Mia’s Italian Grill and Steakhouse,315 Mid America Dr,74337,6,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italian; Steakhouses; ,NA,NA,NA,NA,NA,NA,NA
4,Clanton’s Cafe,319 E Illinois Ave,74301,100,4.0,NA,NA,Under $10,NA,No,No,Yes,Yes,NA,Private Lot,Yes,NA,Yes,Yes,Casual,Average,No,NA,No,No,No,NA,Yes,Yes,American (Traditional); ,NA,NA,NA,NA,"Breakfast, Lunch, Dinner",Casual,NA
5,Denny’s,385 Mid America Dr,74361,15,2.5,NA,NA,$11-30,NA,No,No,Yes,Yes,NA,NA,No,NA,Yes,Yes,NA,Average,No,NA,No,Free,No,NA,Yes,NA,Breakfast & Brunch; American (Traditional); Diners; ,NA,NA,NA,NA,NA,NA,NA
6,Chili’s,5001 S Mill St,74361,14,3.0,NA,NA,$11-30,NA,No,No,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Casual,Average,Full Bar,NA,No,No,Yes,NA,NA,Yes,Tex-Mex; American (Traditional); Bars; ,NA,NA,NA,NA,NA,NA,NA
7,Goodfellas Pizzeria,103 S Vann St,74301,5,4.0,NA,NA,$11-30,NA,No,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Casual,NA,No,NA,NA,NA,Yes,NA,NA,NA,Italian; Pizza; ,NA,NA,NA,NA,NA,NA,NA
8,Mid-American Grille,101 Cobblestone Dr,74361,36,4.0,NA,NA,$11-30,NA,Yes,No,Yes,Yes,NA,Private Lot,Yes,NA,Yes,Yes,NA,Average,Full Bar,NA,No,Free,Yes,NA,NA,Yes,American (Traditional); Diners; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,NA
9,Subway,917 S Mill St,74361,1,1.0,NA,NA,Under $10,NA,No,No,Yes,Yes,NA,NA,NA,NA,Yes,No,NA,Average,NA,NA,No,NA,No,NA,NA,Yes,Fast Food; Sandwiches; ,NA,NA,NA,NA,NA,NA,NA
10,Subway,875 E Illinois Ave,74301,4,2.5,Midtown,NA,Under $10,NA,No,No,Yes,Yes,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,NA,Free,No,NA,NA,NA,Sandwiches; Fast Food; ,NA,NA,NA,NA,NA,NA,NA
11,Bricktown Brewery,11909 East 96th St,74055,107,4.0,Midtown,NA,$11-30,NA,No,No,Yes,Yes,NA,Private Lot,Yes,NA,Yes,Yes,Casual,Average,Full Bar,NA,Yes,Free,Yes,NA,Yes,No,Breweries; American (Traditional); ,NA,NA,NA,NA,"Lunch, Dinner, Dessert",Casual,NA
12,Cappuccino Corner,900 E Will Rogers BlvdSte I,74017,17,4.5,East Tulsa,NA,Under $10,NA,No,No,Yes,Yes,NA,NA,No,NA,Yes,Yes,NA,Quiet,No,NA,No,Free,No,NA,NA,NA,Coffee & Tea; Sandwiches; ,NA,NA,NA,NA,Breakfast,NA,NA
13,Subway,1212 W Will Rogers Blvd,74017,NA,NA,Midtown,NA,Under $10,NA,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fast Food; Sandwiches; ,NA,NA,NA,NA,NA,NA,NA
14,Mia’s Grill,309 S Mill St,74337,10,4.0,NA,NA,$11-30,NA,Yes,No,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Casual,Average,Full Bar,NA,Yes,NA,NA,NA,NA,NA,Italian; Steakhouses; ,NA,NA,NA,NA,NA,NA,NA
15,Chili’s,1900 S Highway 66,74019,9,2.5,NA,NA,$11-30,NA,No,No,Yes,Yes,NA,Private Lot,No,NA,Yes,Yes,Casual,Average,Full Bar,NA,No,Free,Yes,NA,NA,Yes,Bars; Tex-Mex; American (Traditional); ,NA,NA,NA,NA,Lunch,Casual,NA
16,Bill & Ruth Submarine,928 W Will Rogers Blvd,74017,13,4.0,Garden City,NA,Under $10,NA,Yes,No,Yes,Yes,NA,NA,NA,NA,Yes,Yes,NA,Average,NA,NA,Yes,NA,Yes,NA,NA,NA,Middle Eastern; Burgers; Sandwiches; ,NA,NA,NA,NA,Lunch,NA,NA
17,Subway,2000 S Hiwy 66Ste C,74019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sandwiches; Fast Food; ,NA,NA,NA,NA,NA,NA,NA
18,Subway,429 E 2nd Ave,74055,2,4.0,Carbondale,NA,NA,NA,No,No,Yes,Yes,NA,NA,No,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,Sandwiches; Fast Food; ,NA,NA,NA,NA,NA,NA,NA
19,Cracker Barrel Old Country Store,9475 N Owasso Expy,74055,27,4.0,East Tulsa,NA,$11-30,Yes,No,No,Yes,Yes,NA,Private Lot,Yes,NA,Yes,Yes,Casual,NA,No,NA,No,No,No,NA,NA,Yes,American (Traditional); Southern; Breakfast & Brunch; ,NA,NA,NA,NA,Brunch,NA,NA
20,Subway,701 W Main St,74021,1,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sandwiches; Fast Food; ,NA,NA,NA,NA,NA,NA,NA
21,RibCrib,1736 S Lynn Riggs Blvd,74019,29,3.5,Garnett,NA,$11-30,NA,Yes,No,Yes,Yes,NA,NA,No,NA,Yes,Yes,Casual,Average,Beer & Wine Only,NA,No,No,No,NA,NA,Yes,American (Traditional); Barbeque; ,NA,NA,NA,NA,Lunch,Casual,NA
22,Sam’s Place,530 W Main St,74021,5,3.0,Carbondale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Average,NA,NA,NA,NA,NA,NA,NA,NA,Breakfast & Brunch; Waffles; American (Traditional); ,NA,NA,NA,NA,NA,NA,NA
23,Subway,5248 N Highway 167,74015,3,3.5,Carbondale,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sandwiches; Fast Food; ,NA,NA,NA,NA,NA,NA,NA
24,Butcher Bros,13720 E 86th St NSte 160,74055,3,5.0,South Tulsa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Delis; Meat Shops; ,NA,NA,NA,NA,NA,NA,NA
25,Subway,12140 E 96th St NSte 10O,74055,1,4.0,South Tulsa,NA,Under $10,NA,No,No,Yes,Yes,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sandwiches; Fast Food; ,NA,NA,NA,NA,NA,NA,NA
26,Subway,1500 S Lynn Riggs Blvd,74017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sandwiches; Fast Food; ,NA,NA,NA,NA,NA,NA,NA
27,Pizza Inn,437 S Mill St,74361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italian; Pizza; ,NA,NA,NA,NA,NA,NA,NA
28,The Pink House,121 N Chickasaw AveThe Belvidere Mansion,74017,18,4.5,NA,NA,Moderate,NA,NA,NA,Yes,Yes,NA,"Street, Private Lot",Yes,Yes,Yes,NA,NA,Quiet,NA,NA,NA,No,NA,NA,NA,NA,Tea Rooms; Venues & Event Spaces; Caterers; ,NA,NA,NA,NA,NA,NA,Yes
