,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
0,NA,Yes,Full Bar,Casual,Casual,No,Filipino; Thai; Asian Fusion; ,No,No,NA,Yes,Dinner,Yes,No,NA,NA,NA,NA,No,A,NA,NA,Average,Yes,Street,No,Yes,NA,NA,No,$11-30,Pig and Khao,Lower East Side,4.0,1368,10002,68 Clinton St
1,NA,No,Beer & Wine Only,Casual,Casual,Yes,Vietnamese; Asian Fusion; Chinese; ,Yes,Yes,NA,NA,Lunch,No,Yes,NA,Yes,NA,Yes,No,A,NA,Yes,Average,No,Street,Yes,No,NA,NA,No,$11-30,Mooncake Foods,South Village,4.0,497,10013,28 Watts St
2,NA,Yes,No,NA,NA,NA,Thai; ,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Street,Yes,No,Yes,NA,No,NA,Eat’s Khao Man Gai,"East Village, Alphabet City",4.0,38,10009,518 E 6th St
3,NA,Yes,No,Casual,Casual,Yes,Vietnamese; Soup; ,No,Yes,NA,NA,Lunch,No,Yes,NA,NA,NA,NA,No,A,Yes,Yes,Quiet,No,NA,Yes,No,Yes,NA,Free,$11-30,The Pho,"Flatiron, Gramercy",3.5,85,10010,127 E 23rd St
4,NA,No,No,Casual,NA,Yes,Sandwiches; Vietnamese; ,No,No,NA,NA,Lunch,No,Yes,NA,NA,NA,NA,Yes,B,NA,Yes,Average,No,Street,Yes,No,No,NA,No,Under $10,Saigon Vietnamese Sandwich Deli,Little Italy,4.0,580,10013,369 Broome St
5,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Vietnamese; Asian Fusion; ,Yes,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,Yes,B,NA,NA,Average,No,Street,Yes,No,NA,NA,No,$11-30,Pasteur Grill and Noodles,Chinatown,3.5,246,10013,85 Baxter St
6,NA,Yes,Beer & Wine Only,Casual,Casual,No,Asian Fusion; Beer Bar; ,No,Yes,No,Yes,Dinner,Yes,Yes,Yes,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,Yes,No,Yes,Yes,No,$11-30,Char Sue,Lower East Side,4.5,136,10002,119 Essex St
7,No,Yes,No,NA,Casual,No,Vietnamese; Noodles; ,No,Yes,No,Yes,Dinner,Yes,Yes,No,NA,NA,NA,No,NA,NA,Yes,NA,No,Street,Yes,No,Yes,No,Free,$11-30,Mama Pho,Williamsburg - North Side,4.0,50,11249,172 Bedford Ave
8,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Vietnamese; ,No,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,No,NA,NA,No,Under $10,Nha Trang Centre,Chinatown,3.0,264,10013,148 Centre St
9,No,Yes,Beer & Wine Only,Casual,Casual,No,Noodles; Chinese; ,Yes,Yes,No,Yes,Dinner,No,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,Yes,NA,Yes,No,Yes,Yes,No,$11-30,Little Tong Noodle Shop,East Village,4.0,222,10003,177 1st Ave
