,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighborhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address,Source
0,,No,Beer & Wine Only,Casual,Casual,No,Shanghainese; Seafood; Venues & Event Spaces; ,No,No,No,,"Lunch, Dinner",Yes,Yes,No,,,,No,B,,Yes,Loud,No,Street,Yes,No,Yes,,No,$11-30,Joe?s Shanghai,"Chinatown, Civic Center",4.0,5508.0,10013,9 Pell St,Chinese
1,,Yes,No,Casual,Casual,Yes,Shanghainese; ,No,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Yes,Yes,Yes,Yes,A,,Yes,Average,No,Street,Yes,No,,,No,$11-30,Shanghai 21,"Chinatown, Civic Center",4.0,1437.0,10013,21 Mott St,Chinese
2,,Yes,No,Casual,Casual,No,Chinese; Noodles; ,No,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Yes,Yes,Yes,No,A,Yes,Yes,Average,No,Street,Yes,Yes,,,No,Under $10,Noodle Village,"Chinatown, Civic Center",4.0,877.0,10013,13 Mott St,Chinese
3,,Yes,Full Bar,,,Yes,Dim Sum; Seafood; Sandwiches; ,Yes,Yes,No,,,Yes,,Yes,,,,Yes,,,Yes,Average,No,,Yes,Yes,Yes,Yes,Free,,Brooklyn Chop House,"Civic Center, Financial District",4.0,78.0,10038,150 Nassau St,Chinese
4,,Yes,Beer & Wine Only,Casual,Casual,Yes,Chinese; Seafood; Noodles; ,No,Yes,,,"Lunch, Dinner",Yes,Yes,,,,,No,B,,,Average,No,Street,Yes,Yes,,,No,$11-30,Hop Lee Restaurant,"Chinatown, Civic Center",4.0,256.0,10013,16 Mott St,Chinese
5,,No,Beer & Wine Only,Casual,Casual,Yes,Seafood; Cantonese; ,No,No,,,Dinner,Yes,Yes,,,,,No,A,,Yes,Average,No,Street,Yes,No,Yes,,No,$11-30,Hop Kee,"Chinatown, Civic Center",3.5,741.0,10013,21 Mott St,Chinese
6,,No,No,Casual,Casual,Yes,Chinese; Noodles; ,No,Yes,,Yes,"Lunch, Dinner",No,Yes,,,,,Yes,B,,Yes,Average,No,Street,Yes,No,Yes,,No,Under $10,Tasty Hand-Pulled Noodles,"Chinatown, Civic Center",4.0,1450.0,10013,1 Doyers St,Chinese
7,,No,Beer & Wine Only,Casual,Casual,Yes,Chinese; ,No,No,,,"Dinner, Late Night",Yes,Yes,,Yes,,Yes,No,B,Yes,Yes,Average,No,Street,Yes,No,Yes,No,No,$11-30,Wo Hop,"Chinatown, Civic Center",3.5,1259.0,10013,17 Mott St,Chinese
8,No,Yes,No,Casual,Casual,No,Chinese; Kosher; Vegan; ,Yes,Yes,,Yes,"Lunch, Dinner",Yes,Yes,,Yes,,,Yes,C,Yes,Yes,Average,No,Street,Yes,No,Yes,Yes,No,$11-30,Buddha Bodai Kosher Vegetarian Restaurant,"Chinatown, Civic Center",4.0,881.0,10013,5 Mott St,Chinese
9,,No,No,Casual,Casual,Yes,Chinese; ,No,No,,,"Lunch, Dinner",No,Yes,,,,,No,A,Yes,Yes,Average,No,Street,Yes,No,,,No,Under $10,Shu Jiao Fu Zhou Cuisine Restaurant,Lower East Side,4.5,580.0,10002,118 Eldridge St,Chinese
10,,Yes,Beer & Wine Only,Casual,Casual,Yes,Shanghainese; ,Yes,Yes,No,,"Lunch, Dinner",Yes,Yes,,Yes,,,No,A,Yes,Yes,Average,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,21 Shanghai House,Chinatown,4.0,395.0,10002,21 Division St,Chinese
11,,No,No,Casual,,Yes,Chinese; Fast Food; Noodles; ,No,No,No,,"Lunch, Dinner",No,Yes,No,,,,No,A,,,Average,No,Street,Yes,No,No,,No,Under $10,Wah Fung No 1 Fast Food,Lower East Side,4.5,1070.0,10002,79 Chrystie St,Chinese
12,,Yes,,,,,Chinese; ,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,New York Canton Lounge,Chinatown,4.0,6.0,10013,70 Mott St,Chinese
13,,Yes,Full Bar,"Divey, Casual",Casual,Yes,Seafood; Chinese; Asian Fusion; ,Yes,Yes,,Yes,"Dinner, Late Night",Yes,No,,,,,Yes,,,Yes,Average,No,Street,Yes,Yes,,,Free,$11-30,Fishmarket Restaurant,South Street Seaport,4.5,464.0,10038,111 South St,Chinese
14,,Yes,Beer & Wine Only,Casual,Casual,No,Chinese; ,No,No,,,Dinner,Yes,Yes,,,,,No,A,,Yes,Average,No,Street,Yes,Yes,Yes,,No,$31-60,Peking Duck House,"Chinatown, Civic Center",3.5,772.0,10013,28 Mott StSte A,Chinese
15,,No,,,,,Chinese; ,,Yes,,,,Yes,Yes,,,,,No,A,,,,,,Yes,No,,,No,Under $10,Kong Sihk Tong,Chinatown,4.0,40.0,10013,65 Bayard St,Chinese
16,,No,Beer & Wine Only,"Divey, Casual",Casual,Yes,Chinese; Noodles; ,No,No,No,Yes,"Lunch, Dinner",Yes,Yes,No,Yes,,,No,A,,Yes,Average,No,Street,Yes,No,Yes,No,No,Under $10,88 Lan Zhou Handmade Noodles,Chinatown,4.0,1567.0,10013,40 Bowery St,Chinese
17,,No,No,Casual,Casual,Yes,Taiwanese; Chinese; Noodles; ,No,Yes,,,"Lunch, Dinner",Yes,Yes,,,,,No,A,,,Average,No,Street,Yes,No,Yes,,No,Under $10,Taiwan Pork Chop House,"Chinatown, Civic Center",4.0,349.0,10013,3 Doyers St,Chinese
18,No,Yes,No,,,No,Chinese; ,Yes,Yes,No,,,,,No,Yes,,,No,,,Yes,,No,Street,Yes,No,No,No,Free,,Old Xi?an,Financial District,4.0,45.0,10005,164 Pearl St,Chinese
19,No,Yes,Beer & Wine Only,Casual,Casual,Yes,Seafood; Dim Sum; Cantonese; ,Yes,Yes,,,Lunch,Yes,Yes,,,,,No,A,,,Loud,No,Street,Yes,Yes,,,Free,$11-30,Ping?s Seafood,"Chinatown, Civic Center",3.5,605.0,10013,22 Mott St,Chinese
20,No,Yes,No,Casual,Casual,Yes,Taiwanese; Bubble Tea; Chinese; ,Yes,Yes,,,"Lunch, Dinner",Yes,Yes,,,,,No,A,Yes,,Average,No,Street,Yes,No,No,No,No,Under $10,Taiwan Bear House,"Chinatown, Civic Center",4.0,268.0,10013,11 Pell St,Chinese
21,No,No,Beer & Wine Only,"Casual, Trendy",Casual,Yes,Malaysian; Thai; ,Yes,Yes,No,Yes,"Brunch, Lunch, Dinner, Dessert",Yes,Yes,No,Yes,,Yes,No,B,Yes,Yes,Average,No,Street,Yes,Yes,Yes,No,Free,$11-30,Wok Wok,"Chinatown, Civic Center",4.0,632.0,10013,11 Mott St,Chinese
22,No,Yes,Beer & Wine Only,Trendy,Casual,No,Chinese; Seafood; Noodles; ,No,No,,Yes,Dinner,Yes,No,,,,,No,B,,Yes,Loud,No,,No,Yes,Yes,Yes,No,$31-60,Chinese Tuxedo,"Chinatown, Civic Center",3.5,184.0,10013,5 Doyers St,Chinese
23,No,Yes,No,Casual,Casual,No,Asian Fusion; Malaysian; Chinese; ,Yes,Yes,,Yes,Dinner,Yes,Yes,,,,,No,,,Yes,Average,No,Street,Yes,No,Yes,Yes,No,Under $10,Asian Spicy Curry Pop-up,"Chinatown, Civic Center",4.5,123.0,10013,46 Mulberry St,Chinese
24,No,No,Beer & Wine Only,Casual,Casual,Yes,Asian Fusion; Malaysian; Chinese; ,No,Yes,No,,"Lunch, Dinner",Yes,Yes,,Yes,Yes,Yes,No,A,Yes,Yes,Average,No,Street,Yes,Yes,Yes,Yes,No,$11-30,Nyonya,Little Italy,4.0,1899.0,10013,199 Grand St,Chinese
25,,No,No,Divey,Casual,No,Chinese; ,No,No,,,"Breakfast, Lunch",No,Yes,,,,,No,,,,Average,No,Street,Yes,No,No,,No,Under $10,Sun Hing Lung Co,Two Bridges,4.5,152.0,10002,58 Henry St,Chinese
26,,Yes,Beer & Wine Only,Casual,Casual,No,Dim Sum; Cantonese; Seafood; ,Yes,Yes,,,Brunch,Yes,Yes,,,,,Yes,A,,,Average,No,Street,Yes,Yes,,,Free,$11-30,Chatham Seafood Restaurant,"Chinatown, Civic Center",3.5,182.0,10038,6 Chatham Sq,Chinese
27,,No,No,Casual,Casual,No,Shanghainese; ,No,Yes,No,Yes,"Lunch, Dinner",No,Yes,No,,,,No,A,,Yes,Average,No,Street,Yes,Yes,,,No,$11-30,Shanghai Asian Cuisine,Chinatown,4.0,435.0,10013,14A Elizabeth St,Chinese
28,,No,No,Casual,Casual,Yes,Chinese; Hong Kong Style Cafe; ,No,No,,Yes,"Lunch, Dinner",Yes,Yes,,,,,No,A,,Yes,Average,No,Street,Yes,No,Yes,,No,Under $10,Cha Chan Tang,"Chinatown, Civic Center",3.0,936.0,10013,45 Mott St,Chinese
48,,Yes,Beer & Wine Only,Casual,Casual,Yes,Dim Sum; ,Yes,No,No,,"Brunch, Lunch",Yes,Yes,No,,,,Yes,A,Yes,Yes,Average,No,"Garage, Street",Yes,Yes,,,Free,$11-30,Nom Wah Tea Parlor,"Chinatown, Civic Center",3.5,1703.0,10013,13 Doyers St,Chinese
49,,Yes,Full Bar,,Casual,,Chinese; Hot Pot; ,,No,No,,,Yes,Yes,,,,,Yes,,Yes,,,No,,No,Yes,,,Free,,Zhen Wei Fang,Lower East Side,4.0,79.0,10002,207 Bowery,Chinese
50,,No,No,Casual,Casual,Yes,Chinese; Seafood; ,No,No,No,,"Lunch, Dinner",Yes,Yes,,Yes,,,No,A,,,Loud,No,Street,Yes,No,Yes,No,No,Under $10,Big Wong,Chinatown,3.5,1329.0,10013,67 Mott St,Chinese
51,,No,No,Casual,Casual,No,Chinese; ,No,No,,,"Lunch, Late Night",Yes,Yes,,,,,No,A,,,Average,No,Street,Yes,No,Yes,Yes,No,Under $10,WK Restaurant,Chinatown,4.0,53.0,10013,69 Bayard St,Chinese
52,,,,,,,Chinese; ,,,,,,,,,,,,,,,,,,,,,,,,,Xi?an Famous Foods,Financial District,4.5,7.0,10005,8 Liberty Pl,Chinese
53,,No,No,"Divey, Casual",Casual,Yes,Chinese; ,No,Yes,,Yes,"Lunch, Dinner",No,Yes,,,,,No,A,Yes,Yes,Average,No,Street,Yes,No,Yes,,No,Under $10,Spicy Village,Lower East Side,4.0,550.0,10002,68 Forsyth StSte B,Chinese
54,,Yes,Beer & Wine Only,Casual,Casual,Yes,Szechuan; Hot Pot; ,Yes,Yes,,,Dinner,Yes,Yes,,,,,Yes,B,,,Average,No,Street,Yes,Yes,Yes,,No,$11-30,Famous Sichuan,"Chinatown, Civic Center",3.5,342.0,10013,10 Pell St,Chinese
55,,No,No,Casual,Casual,Yes,Dim Sum; Cantonese; ,No,No,,,"Brunch, Lunch",Yes,Yes,,,,,No,A,,Yes,Loud,No,Street,Yes,No,Yes,,No,Under $10,Hop Shing Restaurant,"Chinatown, Civic Center",3.5,481.0,10038,9 Chatham SqSte 1,Chinese
56,,No,No,,Casual,No,Dim Sum; Cafes; ,,No,,,,Yes,Yes,,,,,No,A,,,Average,No,Street,Yes,No,,,No,Under $10,Mee Sum Cafe,"Chinatown, Civic Center",3.5,26.0,10013,26 Pell St,Chinese
57,No,No,No,Casual,Casual,Yes,Chinese; Vietnamese; ,No,No,No,Yes,"Lunch, Dinner",Yes,Yes,,,,,No,A,,Yes,Average,No,"Valet, Garage, Street",Yes,No,No,No,No,Under $10,Bo Ky Restaurant,Chinatown,3.5,668.0,10013,80 Bayard St,Chinese
58,,No,No,,Casual,Yes,Chinese; ,,Yes,,,Lunch,No,No,,,,,No,A,,,Quiet,No,,Yes,No,No,,No,Under $10,Yummy City,East Harlem,4.0,33.0,10029,1557 Lexington Ave,Chinese
59,,Yes,,,,,Chinese; ,,Yes,,,,,,,,,,,,,,,No,,Yes,Yes,,Yes,Free,,Atlas Kitchen,Manhattan Valley,4.0,28.0,10025,258 W 109th St,Chinese
60,,No,,,Casual,No,Chinese; ,,Yes,,,,Yes,Yes,,,,,No,A,,,,No,,Yes,Yes,,,No,Under $10,Great Wall,East Harlem,4.5,12.0,10029,2234 1st Ave,Chinese
61,,Yes,Full Bar,Casual,Casual,Yes,Szechuan; ,Yes,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,,,,Yes,A,,Yes,Average,No,Street,Yes,Yes,Yes,No,No,$11-30,Szechuan Garden,Manhattan Valley,4.0,219.0,10025,239 W 105th St,Chinese
62,,No,No,,Casual,Yes,Chinese; ,,Yes,,,,No,Yes,,,,,No,A,,,Quiet,No,,Yes,No,,,No,Under $10,China King,East Harlem,4.0,23.0,10029,1759 Lexington Ave,Chinese
63,,No,No,,Casual,Yes,Chinese; ,No,Yes,,,,Yes,Yes,,,,,No,A,,,Average,No,,Yes,No,,,No,Under $10,Wok Express,East Harlem,4.0,10.0,10035,2133 3rd Ave,Chinese
64,,No,No,,Casual,,Chinese; ,,Yes,,,,Yes,Yes,,,,,No,A,,,Average,No,,Yes,No,No,,No,Under $10,New King Wok Restaurant,Harlem,3.5,11.0,10027,2025 7th Ave,Chinese
65,,Yes,,,,,Chinese; ,,Yes,,,,No,,,,,,,A,,,,,,Yes,No,,,,,2026 China King,East Harlem,4.0,1.0,10035,2026 Lexington Ave,Chinese
66,,Yes,Beer & Wine Only,Casual,Casual,Yes,Chinese; ,Yes,Yes,,,Lunch,Yes,Yes,,,,,No,,,,Quiet,No,Street,Yes,No,,,No,Under $10,MoonHouse,East Harlem,3.5,88.0,10029,1810 3rd Ave,Chinese
67,,No,No,,Casual,,Chinese; ,,Yes,,,,,,,,,,No,A,,,Average,No,,Yes,No,,,No,$11-30,Hong Kong,East Harlem,3.5,13.0,10029,1703 Lexington Ave,Chinese
68,No,Yes,No,,,Yes,Chinese; ,No,Yes,No,,,No,,No,,,,Yes,,,Yes,,No,Street,Yes,Yes,Yes,Yes,Free,,yu kitchen,Manhattan Valley,4.0,21.0,10025,2656 Broadway,Chinese
69,,Yes,Full Bar,Casual,Casual,Yes,Chinese; ,Yes,Yes,,Yes,"Lunch, Dinner",Yes,Yes,,,,,Yes,A,,Yes,Average,No,Street,Yes,Yes,Yes,,Free,$11-30,Happy Hot Hunan,Manhattan Valley,3.5,129.0,10025,969 Amsterdam Ave,Chinese
70,,No,Full Bar,,Casual,Yes,Chinese; ,No,Yes,,Yes,"Lunch, Dinner",Yes,Yes,,,,,Yes,A,,,Quiet,No,Street,Yes,No,,,No,$11-30,La Preciosa China Restaurant,East Harlem,3.0,23.0,10029,163 E 116th St,Chinese
71,,Yes,No,,Casual,,Chinese; ,Yes,Yes,,,,Yes,Yes,,,,,No,,,Yes,,Yes,,Yes,Yes,Yes,Yes,Free,$11-30,River House Chinese Cuisine,,4.0,58.0,07020,725 River Rd,Chinese
72,,Yes,No,,Casual,No,Chinese; ,Yes,Yes,,,,Yes,Yes,,,,,No,A,,,Average,No,,Yes,No,,,,Under $10,New Hong Kong Restaurant,East Harlem,4.0,5.0,10035,1907 Lexington Ave,Chinese
73,,Yes,Full Bar,,,No,Bars; Szechuan; Dim Sum; ,Yes,Yes,No,,,,,No,,,,Yes,,,,,No,,Yes,Yes,Yes,Yes,Free,,Hui Restaurant & Bar,Upper East Side,4.0,37.0,10021,314 E 70th StFL 1,Chinese
74,,Yes,Full Bar,Casual,Casual,Yes,Szechuan; ,Yes,Yes,,,"Lunch, Dinner",Yes,Yes,,,,Yes,Yes,A,,Yes,Average,No,Street,Yes,Yes,Yes,No,Free,$11-30,Han Dynasty,Upper West Side,4.0,482.0,10024,215 W 85th St,Chinese
75,,No,No,,Casual,,Chinese; ,,Yes,,,,No,,,,,,,A,,,Quiet,No,,Yes,No,,,No,Under $10,Great Wok,East Harlem,3.5,12.0,10029,1631 Lexington Ave,Chinese
76,No,Yes,,,Casual,Yes,Chinese; ,No,No,No,,,No,No,,,,,No,A,,,,No,Street,Yes,No,No,No,No,Under $10,Szechuan Garden Kitchen,Harlem,4.0,16.0,10026,2076 8th Ave,Chinese
77,,No,No,Divey,Casual,Yes,Chinese; ,No,Yes,,,,No,Yes,,,,,No,A,,,Average,No,,Yes,No,,,No,Under $10,Red Star Restaurant,East Harlem,3.0,17.0,10029,112 E 116th St,Chinese
78,No,No,No,,,Yes,Chinese; ,No,No,,,,,,,,,,No,A,,,,No,Street,Yes,No,,,Free,,Hung Chow Restaurant,East Harlem,3.0,4.0,10035,2266 3rd Ave,Chinese
79,,Yes,No,,Casual,Yes,Chinese; ,,Yes,,,,No,Yes,,,,,No,A,,,Very Loud,No,,Yes,No,,,Free,Under $10,Teng Dragon,East Harlem,3.0,16.0,10035,2260 1st Ave,Chinese
80,,Yes,No,,Casual,,Chinese; ,No,Yes,,,,No,Yes,,,,,No,A,,,Average,No,,Yes,No,,,No,Under $10,Wing Wah Restaurant,East Harlem,3.0,12.0,10035,2308 1st Ave,Chinese
81,No,Yes,No,Casual,Casual,No,Vietnamese; Chinese; ,,Yes,No,,"Lunch, Dinner",Yes,Yes,,,,,No,,,,Average,No,Street,Yes,No,No,,No,Under $10,Spice Noodle,East Harlem,3.5,58.0,10029,1509 Lexington Ave,Chinese
