,0
0,http://www.yelp.com/biz/joes-shanghai-new-york-2?osq=Chinese+restaurants
1,http://www.yelp.com/biz/shanghai-21-new-york-2?osq=Chinese+restaurants
2,http://www.yelp.com/biz/noodle-village-new-york?osq=Chinese+restaurants
3,http://www.yelp.com/biz/brooklyn-chop-house-new-york-3?osq=Chinese+restaurants
4,http://www.yelp.com/biz/hop-lee-restaurant-new-york?osq=Chinese+restaurants
5,http://www.yelp.com/biz/hop-kee-new-york?osq=Chinese+restaurants
6,http://www.yelp.com/biz/tasty-hand-pulled-noodles-new-york?osq=Chinese+restaurants
7,http://www.yelp.com/biz/wo-hop-new-york?osq=Chinese+restaurants
8,http://www.yelp.com/biz/buddha-bodai-kosher-vegetarian-restaurant-new-york-4?osq=Chinese+restaurants
9,http://www.yelp.com/biz/shu-jiao-fu-zhou-cuisine-restaurant-new-york?osq=Chinese+restaurants
10,http://www.yelp.com/biz/21-shanghai-house-new-york-4?osq=Chinese+restaurants
11,http://www.yelp.com/biz/wah-fung-no-1-fast-food-new-york-3?osq=Chinese+restaurants
12,http://www.yelp.com/biz/new-york-canton-lounge-new-york?osq=Chinese+restaurants
13,http://www.yelp.com/biz/fishmarket-restaurant-new-york?osq=Chinese+restaurants
14,http://www.yelp.com/biz/peking-duck-house-new-york?osq=Chinese+restaurants
15,http://www.yelp.com/biz/kong-sihk-tong-new-york-2?osq=Chinese+restaurants
16,http://www.yelp.com/biz/88-lan-zhou-handmade-noodles-new-york?osq=Chinese+restaurants
17,http://www.yelp.com/biz/taiwan-pork-chop-house-new-york?osq=Chinese+restaurants
18,http://www.yelp.com/biz/old-xian-new-york-4?osq=Chinese+restaurants
19,http://www.yelp.com/biz/pings-seafood-new-york?osq=Chinese+restaurants
20,http://www.yelp.com/biz/taiwan-bear-house-new-york?osq=Chinese+restaurants
21,http://www.yelp.com/biz/wok-wok-new-york?osq=Chinese+restaurants
22,http://www.yelp.com/biz/chinese-tuxedo-new-york-2?osq=Chinese+restaurants
23,http://www.yelp.com/biz/asian-spicy-curry-pop-up-new-york?osq=Chinese+restaurants
24,http://www.yelp.com/biz/nyonya-new-york?osq=Chinese+restaurants
25,http://www.yelp.com/biz/sun-hing-lung-co-new-york-3?osq=Chinese+restaurants
26,http://www.yelp.com/biz/chatham-seafood-restaurant-new-york-3?osq=Chinese+restaurants
27,http://www.yelp.com/biz/shanghai-asian-cuisine-new-york-2?osq=Chinese+restaurants
28,http://www.yelp.com/biz/cha-chan-tang-new-york?osq=Chinese+restaurants
29,http://www.yelp.com/biz/21-shanghai-house-new-york-4?osq=Chinese+restaurants
30,http://www.yelp.com/biz/wah-fung-no-1-fast-food-new-york-3?osq=Chinese+restaurants
31,http://www.yelp.com/biz/new-york-canton-lounge-new-york?osq=Chinese+restaurants
32,http://www.yelp.com/biz/fishmarket-restaurant-new-york?osq=Chinese+restaurants
33,http://www.yelp.com/biz/peking-duck-house-new-york?osq=Chinese+restaurants
34,http://www.yelp.com/biz/kong-sihk-tong-new-york-2?osq=Chinese+restaurants
35,http://www.yelp.com/biz/88-lan-zhou-handmade-noodles-new-york?osq=Chinese+restaurants
36,http://www.yelp.com/biz/taiwan-pork-chop-house-new-york?osq=Chinese+restaurants
37,http://www.yelp.com/biz/old-xian-new-york-4?osq=Chinese+restaurants
38,http://www.yelp.com/biz/pings-seafood-new-york?osq=Chinese+restaurants
39,http://www.yelp.com/biz/taiwan-bear-house-new-york?osq=Chinese+restaurants
40,http://www.yelp.com/biz/wok-wok-new-york?osq=Chinese+restaurants
41,http://www.yelp.com/biz/chinese-tuxedo-new-york-2?osq=Chinese+restaurants
42,http://www.yelp.com/biz/asian-spicy-curry-pop-up-new-york?osq=Chinese+restaurants
43,http://www.yelp.com/biz/nyonya-new-york?osq=Chinese+restaurants
44,http://www.yelp.com/biz/sun-hing-lung-co-new-york-3?osq=Chinese+restaurants
45,http://www.yelp.com/biz/chatham-seafood-restaurant-new-york-3?osq=Chinese+restaurants
46,http://www.yelp.com/biz/shanghai-asian-cuisine-new-york-2?osq=Chinese+restaurants
47,http://www.yelp.com/biz/cha-chan-tang-new-york?osq=Chinese+restaurants
48,http://www.yelp.com/biz/nom-wah-tea-parlor-new-york?osq=Chinese+restaurants
49,http://www.yelp.com/biz/zhen-wei-fang-new-york?osq=Chinese+restaurants
50,http://www.yelp.com/biz/big-wong-new-york?osq=Chinese+restaurants
51,http://www.yelp.com/biz/wk-restaurant-new-york-2?osq=Chinese+restaurants
52,http://www.yelp.com/biz/xi-an-famous-foods-new-york-3?osq=Chinese+restaurants
53,http://www.yelp.com/biz/spicy-village-new-york?osq=Chinese+restaurants
54,http://www.yelp.com/biz/famous-sichuan-new-york?osq=Chinese+restaurants
55,http://www.yelp.com/biz/hop-shing-restaurant-new-york?osq=Chinese+restaurants
56,http://www.yelp.com/biz/mee-sum-cafe-new-york?osq=Chinese+restaurants
57,http://www.yelp.com/biz/bo-ky-restaurant-new-york?osq=Chinese+restaurants
58,http://www.yelp.com/biz/yummy-city-new-york?osq=Chinese+restaurants
59,http://www.yelp.com/biz/atlas-kitchen-new-york?osq=Chinese+restaurants
60,http://www.yelp.com/biz/great-wall-new-york?osq=Chinese+restaurants
61,http://www.yelp.com/biz/szechuan-garden-new-york?osq=Chinese+restaurants
62,http://www.yelp.com/biz/china-king-new-york?osq=Chinese+restaurants
63,http://www.yelp.com/biz/wok-express-new-york?osq=Chinese+restaurants
64,http://www.yelp.com/biz/new-king-wok-restaurant-new-york?osq=Chinese+restaurants
65,http://www.yelp.com/biz/2026-china-king-new-york?osq=Chinese+restaurants
66,http://www.yelp.com/biz/moonhouse-new-york?osq=Chinese+restaurants
67,http://www.yelp.com/biz/hong-kong-new-york-2?osq=Chinese+restaurants
68,http://www.yelp.com/biz/yu-kitchen-new-york-3?osq=Chinese+restaurants
69,http://www.yelp.com/biz/happy-hot-hunan-new-york?osq=Chinese+restaurants
70,http://www.yelp.com/biz/la-preciosa-china-restaurant-new-york?osq=Chinese+restaurants
71,http://www.yelp.com/biz/river-house-chinese-cuisine-edgewater?osq=Chinese+restaurants
72,http://www.yelp.com/biz/new-hong-kong-restaurant-new-york?osq=Chinese+restaurants
73,http://www.yelp.com/biz/hui-restaurant-and-bar-new-york?osq=Chinese+restaurants
74,http://www.yelp.com/biz/han-dynasty-new-york-4?osq=Chinese+restaurants
75,http://www.yelp.com/biz/great-wok-new-york?osq=Chinese+restaurants
76,http://www.yelp.com/biz/szechuan-garden-kitchen-new-york?osq=Chinese+restaurants
77,http://www.yelp.com/biz/red-star-restaurant-new-york?osq=Chinese+restaurants
78,http://www.yelp.com/biz/hung-chow-restaurant-new-york?osq=Chinese+restaurants
79,http://www.yelp.com/biz/teng-dragon-new-york?osq=Chinese+restaurants
80,http://www.yelp.com/biz/wing-wah-restaurant-new-york?osq=Chinese+restaurants
81,http://www.yelp.com/biz/spice-noodle-new-york-3?osq=Chinese+restaurants
82,http://www.yelp.com/biz/wing-gong-i-kitchen-new-york?osq=Chinese+restaurants
83,http://www.yelp.com/biz/la-salle-dumpling-room-new-york?osq=Chinese+restaurants
84,http://www.yelp.com/biz/fu-wing-chinese-restaurant-new-york?osq=Chinese+restaurants
85,http://www.yelp.com/biz/xian-famous-foods-new-york-8?osq=Chinese+restaurants
86,http://www.yelp.com/biz/empire-corner-ii-new-york?osq=Chinese+restaurants
87,http://www.yelp.com/biz/han-dynasty-new-york?osq=Chinese+restaurants
88,http://www.yelp.com/biz/dian-kitchen-new-york-2?osq=Chinese+restaurants
89,http://www.yelp.com/biz/clay-pot-nyc-new-york-3?osq=Chinese+restaurants
90,http://www.yelp.com/biz/uluh-new-york?osq=Chinese+restaurants
91,http://www.yelp.com/biz/silky-kitchen-new-york-3?osq=Chinese+restaurants
92,http://www.yelp.com/biz/xian-famous-foods-new-york-3?osq=Chinese+restaurants
