,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
0,NA,No,Beer & Wine Only,Casual,Casual,No,Shanghainese; Seafood; Venues & Event Spaces; ,No,No,No,NA,"Lunch, Dinner",Yes,Yes,No,NA,NA,NA,No,B,NA,Yes,Loud,No,Street,Yes,No,Yes,NA,No,$11-30,Joe’s Shanghai,"Chinatown, Civic Center",4.0,5508,10013,9 Pell St
1,NA,Yes,No,Casual,Casual,Yes,Shanghainese; ,No,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Yes,Yes,Yes,Yes,A,NA,Yes,Average,No,Street,Yes,No,NA,NA,No,$11-30,Shanghai 21,"Chinatown, Civic Center",4.0,1437,10013,21 Mott St
2,NA,Yes,No,Casual,Casual,No,Chinese; Noodles; ,No,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Yes,Yes,Yes,No,A,Yes,Yes,Average,No,Street,Yes,Yes,NA,NA,No,Under $10,Noodle Village,"Chinatown, Civic Center",4.0,877,10013,13 Mott St
3,NA,Yes,Full Bar,NA,NA,Yes,Dim Sum; Seafood; Sandwiches; ,Yes,Yes,No,NA,NA,Yes,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,Average,No,NA,Yes,Yes,Yes,Yes,Free,NA,Brooklyn Chop House,"Civic Center, Financial District",4.0,78,10038,150 Nassau St
4,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Chinese; Seafood; Noodles; ,No,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,B,NA,NA,Average,No,Street,Yes,Yes,NA,NA,No,$11-30,Hop Lee Restaurant,"Chinatown, Civic Center",4.0,256,10013,16 Mott St
5,NA,No,Beer & Wine Only,Casual,Casual,Yes,Seafood; Cantonese; ,No,No,NA,NA,Dinner,Yes,Yes,NA,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,No,Yes,NA,No,$11-30,Hop Kee,"Chinatown, Civic Center",3.5,741,10013,21 Mott St
6,NA,No,No,Casual,Casual,Yes,Chinese; Noodles; ,No,Yes,NA,Yes,"Lunch, Dinner",No,Yes,NA,NA,NA,NA,Yes,B,NA,Yes,Average,No,Street,Yes,No,Yes,NA,No,Under $10,Tasty Hand-Pulled Noodles,"Chinatown, Civic Center",4.0,1450,10013,1 Doyers St
7,NA,No,Beer & Wine Only,Casual,Casual,Yes,Chinese; ,No,No,NA,NA,"Dinner, Late Night",Yes,Yes,NA,Yes,NA,Yes,No,B,Yes,Yes,Average,No,Street,Yes,No,Yes,No,No,$11-30,Wo Hop,"Chinatown, Civic Center",3.5,1259,10013,17 Mott St
8,No,Yes,No,Casual,Casual,No,Chinese; Kosher; Vegan; ,Yes,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,NA,Yes,NA,NA,Yes,C,Yes,Yes,Average,No,Street,Yes,No,Yes,Yes,No,$11-30,Buddha Bodai Kosher Vegetarian Restaurant,"Chinatown, Civic Center",4.0,881,10013,5 Mott St
9,NA,No,No,Casual,Casual,Yes,Chinese; ,No,No,NA,NA,"Lunch, Dinner",No,Yes,NA,NA,NA,NA,No,A,Yes,Yes,Average,No,Street,Yes,No,NA,NA,No,Under $10,Shu Jiao Fu Zhou Cuisine Restaurant,Lower East Side,4.5,580,10002,118 Eldridge St
